HSC	MPP	CMP	MEP	P1	P2	P3	P4	P5	P6	P7	P8	genes
0	0	0	0	0.44	0	0	0	0	0	0.03	0.01	PLEKHN1
0	0	0	0	0.08	0	0	0	0	0	0	0	C1orf170
0	0	0	0	0	0	0	0	0	0	0	0	RP11-54O7.17
0	0	0	0	0	0	0	0	0	0	0	0	HES4
0.03	0	0.02	0	0.02	0.02	0.07	0.02	0	0	0	0	RP11-54O7.11
0.78	1.31	1.02	0.65	38.52	26.69	22.84	16.54	7.26	9.59	43.7	124.91	ISG15
0.26	0.47	1.04	2.49	7.72	12.19	13.22	15.16	8.6	4.13	0.82	0.49	AGRN
0	0	0	0	0.08	0	0	0	0	0	0	0	RP11-54O7.18
0	0	0	0	0	0	0.01	0	0	0.01	0	0.03	RNF223
0.71	1.04	0.69	1.38	26.03	34.51	30.77	29.94	24.8	15.13	3.25	1.21	C1orf159
0	0.03	0	0	0	0	0	0	0	0	0	0	RP11-465B22.5
0	0	0	0	0	0	0	0	0	0	0	0	RP11-465B22.8
0	0	0	0.02	0.02	0	0	0	0	0	0	0	TTLL10-AS1
0.55	0.44	0.54	1.35	0.46	0	0	0	0	0	0	0	TTLL10
0	0.03	0	0	4.87	0.16	0.05	0	0	0.04	0.06	0.04	TNFRSF18
0	0.03	0	0.02	2.87	0.04	0.04	0	0.06	0.09	0.06	0.1	TNFRSF4
6.99	12.34	12.46	13.98	53.18	31.35	27.82	24.98	21.54	17.13	8.72	10.73	SDF4
9.91	16.45	17.47	28.9	12.99	10.39	4.47	3.47	1.05	0.39	0.29	0.38	B3GALT6
0	0.03	0.05	0.02	0.34	0.33	0.32	0.47	0.22	0.31	0.23	0.46	FAM132A
0	0	0	0.07	0.1	0	0.04	0.07	0	0	0.05	0	RP5-902P8.12
5.95	7.72	7.49	13.01	48.07	77.18	79.86	71.93	51.48	40.02	26.12	25.89	UBE2J2
0.03	0.03	0.02	0.07	0.06	0.09	0.03	0.05	0.01	0.03	0.02	0	RP5-902P8.10
0	0.08	0.02	0.17	6.16	4.08	2.1	1.73	0.82	0.36	0.09	0.14	SCNN1D
0.78	1.45	1.23	0.94	9.33	4.12	2.93	2.55	2.13	2.56	0.5	0.24	ACAP3
1.46	2.35	2.2	3.31	11.94	16.76	15.14	13.47	7.83	4.1	1.73	4.47	PUSL1
8.19	13.05	12.96	13.79	102.12	115.05	114.92	113.61	90.42	70.36	57.98	84.47	CPSF3L
0.71	1.15	0.66	0.82	5.76	5.27	4.44	3.45	5.1	5.99	6.01	7.46	GLTPD1
0.23	0.22	0.07	0.05	0.87	0.6	0.27	0.3	0.87	0.9	2.74	4.23	TAS1R3
1.17	2.19	1.65	3.28	4	4.15	2.96	2.49	1.75	1.2	0.39	0.49	DVL1
0.06	0	0.09	0.02	0.18	0.18	0.12	0.03	0.03	0.03	0.06	0.19	MXRA8
8.54	12.2	14.8	15.11	112.98	133.26	124.81	131.28	104.31	76.22	47.65	71.01	AURKAIP1
15.11	16.03	9.74	14.24	128.33	84.51	71.61	86.71	115.53	119.59	101.48	124.66	CCNL2
2.89	4.32	7.28	6.04	39.75	41.63	39.91	35.38	19.96	12.22	8.8	11.34	RP4-758J18.2
10.46	14.39	17.61	25.93	64.69	101.65	97.18	87.42	40.54	28.04	26.74	32.84	MRPL20
0.26	0.99	0.69	1.4	2.36	4.86	4.06	3.28	1.04	0.6	0.33	0.33	RP4-758J18.13
2.44	1.04	0.33	0.05	0.1	0	0.04	0	0	0	0	0	ANKRD65
0.13	0.05	0	0	0	0	0	0	0	0	0	0	RP4-758J18.7
0.03	0	0	0	0	0	0	0	0	0	0	0	TMEM88B
0.19	0.79	0.09	0	0.12	0	0	0	0	0	0	0	RP4-758J18.10
0.65	0.85	0.19	0	0.32	0.02	0	0	0	0	0	0	VWA1
0.06	0.22	0.12	0.02	0.5	1.23	1.07	0.79	0.22	0.01	0	0	ATAD3C
1.3	1.09	1.84	2.15	28.94	42.28	30.29	24.23	11.68	6.74	1.19	0.83	ATAD3B
1.2	1.53	2.79	6.13	29.55	47.3	30.23	24.34	11.04	6.8	1.15	0.97	ATAD3A
0	0	0	0	0.02	0	0	0	0.01	0	0	0	TMEM240
52.6	60.17	58.16	60.62	111.27	122.36	101.38	76.85	42.87	43.44	48.58	81.32	SSU72
0.55	0.36	0.73	0.8	0.26	0.43	0.59	0.35	0.35	0.23	0.29	0.33	AL645728.1
4.94	6.65	9.39	17.14	10.3	4.06	1.12	0.51	0.06	0.01	0	0	C1orf233
12.64	9.77	7.59	8.76	1.45	1.32	1.26	1.1	0.68	0.54	0.98	1.21	RP11-345P4.9
0.32	1.29	0.45	0.8	3.57	2.24	1.62	1.31	1.32	1.13	0.73	2.05	MIB2
0	0	0	0.05	0.02	0.05	0.03	0	0.04	0.04	0.06	0.06	MMP23B
7.18	8.29	7.75	8.96	12.68	11.92	12.09	11.46	13.47	13.62	13.55	19.42	CDK11B
0.03	0.08	0.05	0	0	0.11	0.03	0.03	0.04	0.07	0.02	0.07	RP11-345P4.10
40.03	44.41	40.28	49.42	52.92	44.61	36.95	36.52	40.11	41.54	51.47	53.91	SLC35E2B
1.17	1.09	1.02	0.51	0.81	0.74	0.37	0.63	1.01	1.54	1.21	1.85	RP11-345P4.7
14.94	12.42	11.68	15.48	23.29	21.2	19.4	21.09	29.58	45.88	67.52	69.62	CDK11A
3.96	4.35	2.39	2.87	6.04	3.58	3.17	3.18	3.84	4.77	4.29	3.66	SLC35E2
7.99	10.89	8.84	13.91	54.15	34.62	24.69	19.71	12.25	10.45	4.89	2.34	NADK
260.89	283.35	301.04	260.9	109.73	64.98	43.49	37.56	41.15	40.28	14.29	12.7	GNB1
0.32	0.66	0.43	0.24	0.22	0.27	0.1	0.09	0.04	0.16	0.06	0.15	RP1-140A9.1
0	0	0	0	0.12	0.09	0.04	0.09	0.04	0.03	0.05	0	CALML6
0	0	0.02	0.12	0.34	2.58	1.93	1.31	0.12	0.03	0.19	0.35	TMEM52
0	0.08	0	0	0.02	0.02	0	0	0	0	0	0.01	C1orf222
0	0.03	0	0	0	0	0	0	0.04	0	0	0	RP11-547D24.1
0	0.03	0	0	0.02	0.02	0	0	0	0	0	0	GABRD
0.13	0.16	0	0	0	0	0	0	0	0	0	0	RP11-547D24.3
4.68	5.17	2.65	1.76	0.67	0.11	0	0	0.01	0.01	0	0.03	PRKCZ
0.03	0.08	0.02	0	0.12	0	0	0	0	0	0	0	RP5-892K4.1
4.09	5.01	3.43	2.15	1.21	0.58	0.21	0.07	0.03	0.07	0.05	0.07	RP11-181G12.2
2.47	4.62	2.41	2	10.91	11.02	7.1	5.51	2.99	1.91	1.36	1.54	C1orf86
0	0	0	0	0	0	0	0	0	0	0	0	AL590822.2
0.03	0.14	0.05	0	0	0	0.01	0.03	0.01	0	0	0	AL590822.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-181G12.5
0	0	0	0	0	0	0	0.02	0	0	0	0	RP11-181G12.4
32.13	36.99	31.7	39.33	17.59	11.07	5.13	4.26	3.7	3.6	0.94	0.39	SKI
4.61	4.05	1.8	2.12	7.01	8	7.55	9.98	11.58	8.42	2.18	1.42	MORN1
0	0.05	0	0.02	0.06	0.02	0.03	0.03	0.03	0.17	0.02	0	AL589739.1
38.3	46.6	41.96	48.89	154.33	188.31	193.76	191.79	196.86	149.64	83.27	102.6	RER1
1.85	2.49	2.15	2.03	9.73	15.53	13.3	12.42	5.18	3.06	4.23	7.32	PEX10
0.19	0.11	0.12	0.14	0.3	0.13	0.03	0	0.07	0.17	0.02	0	PLCH2
0	0	0	0.05	0.04	0.02	0	0	0	0.06	0	0	RP3-395M20.2
0	0	0	0	0.02	0.02	0.03	0.03	0	0.03	0.02	0	RP3-395M20.3
2.37	4.13	3.29	4.27	27.55	35.54	39.31	44.24	62.65	39.85	8.27	8.14	PANK4
0	0	0	0.12	0.1	0.83	0.34	0.26	0.18	0.04	0	0	HES5
0	0.03	0.05	0.1	0.04	0.31	0.11	0.05	0.03	0.01	0.02	0.08	RP3-395M20.12
6.5	9.03	3.14	2.8	63.76	27.71	37.33	63.24	71.23	43.41	13.33	7.51	TNFRSF14
0.03	0	0	0	0.28	0	0.03	0.03	0	0.04	0	0.03	RP3-395M20.7
0.06	0.14	0.07	0.02	0.14	0.04	0.1	0.1	0.15	0.1	0.03	0	RP3-395M20.9
5.85	8.87	10.78	20.45	18.92	59.11	72.01	91.59	50.56	16.82	1.95	0.81	FAM213B
0.03	0	0	0	0.14	0.02	0	0	0	0	0	0	MMEL1
0.03	0	0	0	0	0	0	0	0	0	0	0	RP13-436F16.1
1.69	4.54	0.8	1.06	0.95	0.74	0.33	0.35	0.32	0.07	0.05	0.07	TTC34
0	0	0	0	0	0	0	0	0	0	0	0	RP11-740P5.2
0	0	0	0	0	0	0	0.02	0	0	0.02	0	RP11-740P5.3
0	0	0	0	0	0	0	0	0	0	0	0	ACTRT2
1.69	1.4	0.31	0.02	0.1	0	0	0	0	0	0	0	LINC00982
24.5	36.78	5.37	0.14	0.65	0.04	0	0	0	0	0	0	PRDM16
0.06	0.08	0	0	0	0	0	0	0	0	0	0	RP1-163G9.2
0.65	0.44	0	0	0.06	0	0	0	0	0	0	0	RP11-22L13.1
0.1	0.05	0.07	0.05	0.42	0	0	0	0	0	0	0	ARHGEF16
0.88	0.14	0.12	0.14	0	0	0	0	0	0	0	0	RP11-168F9.2
3.87	4.32	3.19	1.91	18.68	0.72	0.08	0.17	0.42	0.37	0.54	0.7	MEGF6
0	0	0.02	0	1.35	0.14	0.08	0.23	0.21	0.24	0.57	1.67	RP11-46F15.2
34.7	32.97	19.6	33.41	15.29	8.52	5.84	6.59	18.41	38.54	60.16	62.32	TPRG1L
1.92	2.6	2.41	3.72	38.84	43.64	49.23	46.93	37.77	25.23	9.68	10.7	WRAP73
0.58	0.6	0.09	0.14	1.98	0.56	0.53	1.05	2.27	1.77	0.56	0.18	TP73
0	0	0	0	0	0	0	0	0.01	0.01	0	0	RP5-1092A11.5
0	0	0	0	0.06	0	0	0	0	0	0	0	RP5-1092A11.2
20.44	19.4	16.48	18.03	6.12	10.26	9.79	12.07	15.97	15.1	8.04	2.48	TP73-AS1
0.52	0.22	0.12	0.8	0.1	0.25	0.19	0.33	0.28	0.5	0.4	0.13	CCDC27
0.52	0.38	0.59	2.1	6.75	22.54	28.05	45.38	73.75	73.75	41.61	11.12	SMIM1
23.36	27.14	26.17	47.08	26.38	35.6	24.14	21.84	15.25	14.49	7.32	3.94	LRRC47
0.81	0.25	0.14	0.75	0.77	0.51	0.38	0.3	0.54	0.67	0.39	0.15	RP1-286D6.5
40.68	42.77	33.83	50.87	10.02	12.55	10.04	9	9.07	10.9	5.85	2.94	CEP104
6.76	7.63	9.79	14.2	19.57	26.37	24.83	19.26	5.25	1.24	0.28	0.39	DFFB
11.4	16.8	21.35	34.14	55.68	78.95	86.43	74.32	47.41	25.05	9.06	14.22	C1orf174
0.1	0.03	0.33	0.39	0.75	0.36	0.51	0.58	0.55	0.84	0.76	0.56	LINC01134
0	0	0	0	0	0	0	0.02	0	0.03	0.02	0	RP13-614K11.1
0	0	0	0	0	0	0	0	0	0	0	0	RP13-614K11.2
0	0	0	0	0	0	0	0	0	0	0	0	RP5-1166F10.1
0	0	0	0	0	0	0	0	0	0	0	0	RP1-37J18.1
0	0	0	0	0	0	0	0.03	0	0.04	0.03	0	RP1-37J18.2
0	0	0	0	0	0	0	0	0	0	0	0	AJAP1
0.03	0	0	0	0	0	0	0	0	0	0	0	RP11-542C10.1
0	0	0	0	0	0	0	0	0	0	0	0	RP1-58B11.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-154H17.1
3.09	2.85	2.93	4.92	24.32	23.55	21.69	22.77	18.65	14.02	3.56	2.27	NPHP4
54.65	66.19	66.15	22.45	377.44	108.11	70.54	45.59	23.65	19.26	7.7	4.52	KCNAB2
0	0	0	0	0	0	0	0	0	0	0	0	AL035406.1
0.1	0.08	0.21	0.89	0.63	0.11	0.14	0.09	0.01	0.1	0.2	0.67	CHD5
1093.91	1082.51	975.11	849.1	297.89	253.33	234.31	227.17	143.38	69.59	23.48	11.38	RPL22
0	0	0	0	0.08	0.04	0.04	0.02	0	0	0	0	RP1-120G22.11
0.06	0.25	0.09	0.58	1.13	1.79	0.74	0.24	0.03	0.09	0	0	RNF207
55.85	48.19	85.91	113.9	119.2	147.43	130.63	120.12	80.63	39.55	5.17	1.22	ICMT
0.03	0.03	0.02	0.02	0.38	0.09	0.08	0.1	0.03	0	0	0	LINC00337
0	0	0	0	0	0	0	0	0	0	0	0	HES3
0.06	0	0.83	0.14	8.36	0.74	0.73	0.44	0.04	0.03	0	0.01	GPR153
15.53	16.01	33.36	42.76	72.35	110.68	104.06	91.38	39.78	16.2	1.6	0.51	ACOT7
0	0	0	0	0	0	0	0	0	0	0	0	RP1-202O8.3
0	0.03	0.02	0.1	0.14	2.19	1.77	1.29	0.03	0.16	0.09	0.11	HES2
0	0.03	0	0.94	0.65	2.22	1.67	2.49	2.63	5.6	11.04	4.8	ESPN
0	0	0	0	0	0	0	0.03	0.01	0.06	0.02	0.01	RP1-202O8.2
0.1	0.03	0.12	2.92	1.35	1.93	0.96	0.49	0.53	1.21	3.52	1.86	TNFRSF25
0.29	0.05	0.12	0.02	0.14	0	0.08	0.02	0	0.04	0.26	0.19	PLEKHG5
61.21	55.03	71.3	78.87	33.65	44.58	37.42	35.99	23.83	18.3	8.46	6.86	NOL9
0	0	0.17	0.17	0.16	0.16	0.01	0.03	0.06	0.01	0.74	1.52	TAS1R1
7.02	9.39	12.96	8.38	51.72	26.62	20.76	20.88	19.08	19.26	25.6	33.87	ZBTB48
7.76	12.29	10.12	20.01	73.56	89.22	75.33	79.38	57.18	116.2	560.28	1063.11	KLHL21
4.61	3.53	5.46	7.15	37	33.85	28.15	24.77	44.1	36.72	21.08	56.47	PHF13
0.84	0.88	0.61	1.91	20.2	20.39	17.93	17.8	21.77	17.35	20.36	34.7	THAP3
22.19	20.74	25.46	39.09	55.95	135.59	147.83	135.51	46.65	25.88	10.24	4.63	DNAJC11
0.03	0	0	0	0	0	0	0	0	0	0	0	RP11-242F24.1
0.13	0.3	0.14	0.14	0.22	0.33	0.11	0.09	0.07	0.11	0.03	0.07	RP11-312B8.1
31.48	32.7	33.17	23.76	51.64	35.78	27.28	24.56	30.63	26.61	6.32	5.68	CAMTA1
0	0	0	0	0.02	0.02	0	0.02	0.04	0.06	0	0.04	RP11-334N17.1
0.03	0	0	0	0	0	0	0	0	0	0	0	RP3-453P22.2
0	0	0	0	0.02	0	0	0	0	0	0	0	RP4-549F15.1
0.03	0	0.02	0.02	0.02	0	0	0.02	0	0	0	0	RP11-338N10.1
0	0.05	0	0	0	0.09	0	0	0	0.04	0	0	RP11-338N10.2
0.29	0	0	0	0.06	0	0	0	0	0	0	0	RP11-338N10.3
143.6	116.27	127.78	111.37	60.65	65.38	75.5	85.24	84.06	71.07	62.72	104.77	VAMP3
27.26	21.4	16.08	12.51	12.7	13.69	13.24	12.33	6	2.8	1.38	0.58	PER3
0.32	0.22	0.14	0.07	0.34	0.14	0.45	0.21	0.12	0.29	0.03	0.03	RP3-467L1.4
1.04	0.49	2.41	0.72	0.91	0.09	0	0.03	0	0.01	0	0.06	UTS2
0.03	0.03	0.09	0	0.16	0.05	0	0.02	0.01	0	0	0	TNFRSF9
94.74	98.23	133.24	131.57	386.94	494.06	461.59	377.47	201.39	129.17	74.08	48.25	PARK7
1.27	2.33	0.71	0.19	0.65	0.47	0.41	0.23	0.12	0.27	0.51	1.49	ERRFI1
0	0	0.02	0	0.02	0.02	0	0	0	0	0	0	RP11-431K24.1
0	0	0.05	0	0	0	0	0	0	0	0	0	RP11-431K24.3
0	0	0	0	0	0	0	0	0	0	0	0	RP11-431K24.4
0.13	0.57	0.02	0	0.14	0	0	0.02	0	0	0.02	0.39	SLC45A1
180.51	164.23	88.61	89.59	44.86	29.89	18.62	16.14	10.75	12.49	5.47	2.23	RERE
6.86	3.86	1.21	1.59	0.44	0.18	0.16	0.23	0.1	0.14	0	0	RP5-1115A15.1
0.03	0.11	0.02	0.1	1.11	0.92	0.66	0.91	0.6	1.07	0.34	0.04	RP4-633I8.4
387.85	501.24	463.74	339.03	2048.73	1725.66	1442.64	829.1	92.94	50.44	63.65	91.01	ENO1
0.36	0.27	0.35	0.12	0.32	0.11	0.05	0	0	0.03	0.05	0.07	ENO1-AS1
0	0	0.07	0	0.18	0	0	0	0	0	0	0	CA6
0.03	0	0.02	0	0	0	0	0	0	0	0	0	SLC2A7
25.7	21.32	18.75	4.54	26.64	0.13	0.07	0.02	0.01	0.13	0.31	0.21	SLC2A5
2.21	2.08	1.37	1.5	2.14	0.99	0.44	0.28	0.18	0.29	0.36	0.26	GPR157
0	0	0	0	0.36	0.45	0.55	0.54	0.43	0.19	0.14	0.15	RP3-510D11.1
0.03	0	0.07	0	0.61	0.83	0.97	0.77	0.35	0.2	0.31	0.33	RP3-510D11.2
54.29	50.38	54.61	64.51	55.89	33.41	19.99	10.64	2.09	1.04	1.22	0.85	H6PD
0.42	0.36	0.31	0.24	1.01	0.23	0.05	0.05	0.03	0	0.11	0.06	SPSB1
0	0	0	0.02	0	0	0.03	0	0	0	0	0	RP13-392I16.1
15.4	14.2	18.72	16.78	3.27	4.39	2.51	2.41	1.01	0.79	0.67	0.89	SLC25A33
14.23	21.59	21.28	24.75	38.7	56.5	48.41	35.57	9.07	4.76	0.63	0.4	TMEM201
31.16	37.68	34.54	18.49	105.57	22.9	11.27	4.9	0.8	0.69	0.6	0.5	PIK3CD
0.39	0.82	0.61	0.27	1.11	0.04	0.01	0.02	0	0	0.02	0	C1orf200
0.55	0.41	1.58	2.2	2.75	1.88	0.59	0.12	0	0	0.02	0	RP11-558F24.4
108.29	119.06	96.74	56.25	31.59	10.48	5.66	4.85	3.48	1.24	0.2	0.06	CLSTN1
7.76	12.29	10.52	9.87	5.8	2.42	1.3	1.26	0.36	0.44	0.03	0.07	CTNNBIP1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-84A14.5
66.31	57.52	58.49	57.94	33.22	39.46	43.85	41.8	37.63	27.71	11.74	9.48	LZIC
7.12	4.93	5.27	5.46	8.95	9.48	7.57	7.05	2.84	1.5	0.43	0.78	NMNAT1
0.03	0.27	0.09	0.22	0	0.04	0	0	0	0	0.02	0.01	RBP7
195.91	201.28	194.56	199.97	75.09	103	94.95	93.56	92.52	95.54	109.05	111.35	UBE4B
82.65	67.64	55.82	51.57	23.77	19.04	12.96	11.2	4.86	2.34	0.76	0.5	KIF1B
205.49	223.97	278.16	295.84	942.98	622.7	681.15	628.09	138.74	61.22	24.28	28.02	PGD
0	0	0.09	0.02	0.08	0.05	0.11	0	0.03	0.01	0	0	RP4-736L20.3
1.3	1.26	1.87	1.79	3.8	7.48	6.87	4.82	4.45	1.59	0.23	0.08	APITD1
0	0	0	0	0	0	0	0	0	0	0	0	APITD1-CORT
0.23	0	0.07	0.07	0.28	0.4	0.11	0.09	0.15	0.1	0.02	0	CORT
39.08	41.76	33.26	43.87	49.08	81.76	74.6	51.85	16.51	9.63	6.55	4.38	DFFA
0	0	0	0	0	0	0	0	0	0	0	0	RP5-1113E3.3
6.21	8.7	7.04	9.46	10.95	15.37	14.35	12.51	8.78	5.73	2.96	1.81	PEX14
3.18	2.54	2.32	1.28	3.25	1.07	1.3	2.36	5.69	6.86	2.23	0.86	CASZ1
0.13	0.33	0.07	0.07	0.61	0.16	0.08	0.24	1	1.79	0.4	0.06	RP4-734G22.3
0	0	0	0	0.2	0.05	0	0	0	0	0	0	C1orf127
287.76	275.27	333.67	413.55	288.23	405.58	404.87	343.85	220.46	149.31	76.64	66.26	TARDBP
22.55	20.11	16.48	14.32	1.23	0.72	0.66	1.06	0.93	0.59	0.48	0.36	MASP2
6.27	3.97	7.07	3.33	8.73	4.64	3.77	4.82	5.6	6.24	2.76	2.73	RP4-635E18.8
70.37	108.66	155.34	209.55	47.36	57.49	31.31	17.5	5.5	1.29	0.29	0.26	SRM
72.03	81.6	93.83	139.23	144.11	189.06	189.69	192.42	154.15	96.81	17.78	6.29	EXOSC10
0.32	0	0	0.14	0.3	0.2	0.3	0.19	0.42	0.23	0.08	0.04	RP4-635E18.7
0	0	0.02	0.07	0.79	0.7	0.55	0.47	0.19	0.16	0.17	0.08	RP4-635E18.6
83.76	100.86	127.61	138.38	111.65	129.75	115.29	124.2	131.22	102.07	34.29	20.51	MTOR
0.45	1.01	0.99	0.48	0.36	0.33	0.45	0.26	0.43	0.39	0.2	0.04	MTOR-AS1
1.56	1.78	2.81	1.47	1.51	0.85	0.74	0.85	1.62	1.39	0.31	0.11	ANGPTL7
33.3	40.11	39.46	45.36	52.37	79.63	75.79	70.69	51.72	33.19	20.84	43.76	UBIAD1
0.03	0.08	0.07	0.02	0.28	0.07	0.01	0	0	0	0	0	PTCHD2
0	0	0	0	0.04	0.09	0.05	0.02	0	0.03	0	0	RP1-69M21.2
0	0	0	0	0.04	0	0	0.05	0	0	0	0	FBXO2
2.14	1.92	0.83	0.58	3.43	3.76	4.04	2.63	0.32	0.09	0.03	0	FBXO44
1.95	2.46	1.56	1.64	11.41	14.83	18.25	16.68	2.44	0.86	0.14	0.11	FBXO6
6.99	12.81	16.67	18.73	60.37	82.72	81.21	86.59	63.22	41.78	6.95	1.7	MAD2L2
0.26	0.08	0.19	0.12	0.24	0.04	0.19	0.03	0.03	0	0.02	0	DRAXIN
4.81	5.77	6.97	6.33	101.65	139.22	145.15	126.61	28.4	23.53	20.52	22.86	AGTRAP
0	0	0.02	0.07	0.06	0.2	0.01	0.02	0.03	0.03	0.08	0.33	C1orf167
0	0	0	0	0	0	0	0.02	0	0	0.02	0	RP11-56N19.5
13.48	16.66	11.87	32.4	38.72	89.44	97.62	106.09	67.13	101.18	163.51	150.7	MTHFR
20.44	33.85	20.57	25.57	38.7	41.52	36.95	44.49	31.35	49.35	69.25	62.86	CLCN6
0.32	0.41	0.31	0.14	1.15	0.7	0.53	0.91	0.44	1	2.56	2.63	NPPA-AS1
0.16	0.25	0.14	0.02	0.81	0.78	0.55	0.66	0.25	0.57	1.84	1.99	NPPA
0	0.05	0	0	0.02	0	0	0	0	0	0.02	0	NPPB
11.34	15.57	21.61	29.21	27.45	21.13	13.45	10.92	8.87	9.66	5.36	3.91	KIAA2013
18.68	17.7	17.35	32.3	90.97	114.85	101.12	84.53	32.31	22.09	6.16	1.81	PLOD1
52.31	63.37	65.77	111.44	117.87	290.37	306.92	301.89	280.48	372.52	536.67	208.52	MFN2
1.56	2.16	2.44	3.52	54.69	71.83	71.39	71.25	67.6	73.8	121.05	91.23	MIIP
0.19	0.22	0.31	0.17	4.38	6.18	2.23	0.44	0.01	0.01	0.02	0	TNFRSF8
9.94	10.43	2.2	3.86	10.64	27	25.08	29.08	12.11	2.92	0.31	0.11	TNFRSF1B
192.63	157.86	137.66	160.42	67.96	86.4	77.31	85.52	76.16	51.08	22.92	16.46	VPS13D
0	0.03	0.02	0	0.04	0	0	0.02	0	0	0	0	RP5-888M10.2
0.06	1.7	14.26	36.82	16.6	20.08	34.21	66.24	51.42	10.47	0.99	0.35	DHRS3
0	0.08	0.19	0.14	0	0.14	0.14	0.03	0.03	0.01	0	0	RP11-474O21.5
0	0	0	0	0	0	0	0	0	0	0	0	AADACL4
0	0	0	0	0	0	0	0	0	0	0	0	AADACL3
0	0	0.05	0	0.02	0	0	0	0	0	0	0	C1orf158
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF12
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF1
0	0	0	0	0	0	0	0	0	0	0	0	RP5-845O24.8
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF11
0.03	0.08	0.02	0.1	0.02	0.09	0.08	0.12	0.06	0.03	0	0.01	HNRNPCL1
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF2
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF4
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF10
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF7
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF6
0	0	0	0	0	0	0	0	0	0	0	0	PRAMEF22
0	0	0	0	0	0	0	0	0	0	0	0	WI2-3308P17.2
