Donor1_Day07_P1_Rep1	Donor1_Day07_P2_Rep1	Donor1_Day07_P3_Rep1	Donor1_Day07_P4_Rep1	Donor1_Day14_P5_Rep1	Donor1_Day14_P6_Rep1	Donor1_Day14_P7_Rep1	Donor1_Day14_P8_Rep1	Donor1_Day15_P5_Rep2	Donor1_Day15_P6_Rep2	Donor1_Day15_P7_Rep2	Donor1_Day15_P8_Rep2	Donor2_Day06_P1_Rep2	Donor2_Day06_P2_Rep2	Donor2_Day06_P3_Rep2	Donor2_Day06_P4_Rep2	Donor3_Day07_P1_Rep3	Donor3_Day07_P2_Rep3	Donor3_Day07_P3_Rep3	Donor3_Day07_P4_Rep3	Donor3_Day14_P5_Rep3	Donor3_Day14_P5_Rep4	Donor3_Day14_P6_Rep3	Donor3_Day14_P6_Rep4	Donor3_Day14_P7_Rep3	Donor3_Day14_P7_Rep4	Donor3_Day14_P8_Rep3	Donor3_Day14_P8_Rep4	genes
179	112	236	27	44	228	270	477	35	307	93	238	75	106	18	41	30	35	142	158	23	24	389	242	496	125	195	335	PUSL1
1987	2272	2358	701	781	2096	2241	3528	764	2100	719	1854	1304	1400	841	985	1082	1009	1847	2232	836	866	3000	2010	3359	911	1536	2966	CPSF3L
116	133	105	118	74	57	139	131	75	68	89	105	102	73	109	105	70	112	130	191	104	94	88	55	115	109	54	89	GLTPD1
16	104	17	36	14	16	11	4	17	9	16	9	11	16	36	40	56	21	14	95	45	69	7	7	8	16	4	6	TAS1R3
34	14	44	12	23	33	80	73	20	45	85	73	14	25	6	4	6	15	35	3	9	6	70	36	63	122	43	64	DVL1
0	4	0	3	0	3	3	2	2	1	3	2	0	2	0	0	4	0	0	7	0	0	5	0	3	6	1	1	MXRA8
2460	1638	2663	786	929	1800	2594	4200	742	2046	1200	1719	1474	1477	710	852	841	1063	2055	1674	674	1006	3184	2576	3622	1710	1457	3492	AURKAIP1
2335	2438	2486	1705	1783	1571	3011	1956	1574	1229	1772	1448	1865	1735	1730	1534	1446	1912	3018	2728	1843	2089	1819	1479	1905	1545	1370	2121	CCNL2
502	237	558	97	143	852	968	1145	110	766	148	715	223	238	123	143	154	173	349	310	148	171	1051	589	1275	264	550	889	RP4-758J18.2
945	682	995	471	339	1267	1555	3115	398	1776	381	1608	481	647	416	392	466	425	658	740	453	467	2365	1540	2904	948	1284	2187	MRPL20
24	14	31	3	7	44	69	102	6	109	4	63	9	13	7	4	7	7	20	7	3	0	131	67	105	55	42	79	RP4-758J18.13
0	0	0	0	0	2	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ANKRD65
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP4-758J18.7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TMEM88B
0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP4-758J18.10
0	0	0	0	0	3	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	VWA1
8	0	5	0	1	6	10	24	0	26	9	25	0	2	0	0	0	0	1	0	0	0	29	17	28	14	13	15	ATAD3C
281	30	268	9	101	318	670	848	70	535	445	512	129	193	27	12	24	84	189	18	14	3	849	476	948	858	354	559	ATAD3B
256	33	281	8	86	312	751	975	48	585	400	508	126	174	26	14	19	84	218	19	15	10	722	405	1044	990	349	641	ATAD3A
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TMEM240
926	1810	950	877	496	2097	2614	2721	670	2351	798	1844	746	722	761	647	728	646	978	1829	1001	1329	2829	1446	3024	1400	1120	1839	SSU72
5	8	7	6	4	4	4	10	5	1	5	16	3	9	5	3	5	4	4	4	6	6	17	7	13	10	2	11	AL645728.1
2	0	0	0	2	67	231	22	0	43	212	34	0	0	0	0	0	0	1	0	0	0	26	5	46	136	7	17	C1orf233
10	22	10	24	8	22	26	20	10	19	24	27	4	21	20	14	16	13	11	23	13	18	45	21	24	30	26	16	RP11-345P4.9
19	39	30	32	24	33	63	36	10	21	81	32	18	22	14	10	10	26	25	38	13	38	50	28	45	58	19	28	MIB2
2	1	0	0	0	0	1	2	0	0	0	0	1	1	1	2	1	2	0	3	0	0	0	0	3	0	0	0	MMP23B
281	558	362	155	133	179	306	395	160	181	143	226	243	196	202	214	260	191	359	459	199	224	261	194	306	173	164	299	CDK11B
1	2	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	2	2	2	1	0	0	0	4	1	1	1	RP11-345P4.10
991	1372	1140	622	316	903	1422	1478	514	603	295	612	799	448	638	958	1054	472	1122	1269	674	612	605	397	1532	335	451	1245	SLC35E2B
21	35	25	19	12	9	22	11	19	11	9	4	36	15	27	11	22	23	30	35	18	44	12	5	11	19	9	22	RP11-345P4.7
665	1853	745	694	345	275	529	584	664	300	349	360	854	380	979	1115	1548	562	1131	1843	718	614	471	342	525	349	270	597	CDK11A
81	88	76	40	45	118	126	91	80	81	55	54	68	75	68	61	96	78	108	77	52	58	86	54	82	35	51	77	SLC35E2
275	34	279	46	143	1098	934	737	123	533	649	421	179	187	113	75	66	158	271	59	62	29	643	386	712	672	247	497	NADK
831	292	705	184	654	1557	2465	1039	503	816	1411	1118	686	780	349	180	199	714	916	231	195	206	1015	765	1203	1579	566	822	GNB1
1	3	0	0	1	0	9	4	4	1	2	1	3	1	0	1	2	0	4	8	1	0	2	1	8	6	1	3	RP1-140A9.1
0	0	0	0	0	0	2	0	0	0	4	3	0	3	0	0	3	2	0	0	0	0	0	0	3	2	4	1	CALML6
0	12	8	1	1	7	7	67	0	39	3	18	1	0	2	6	2	0	1	10	2	2	56	17	66	38	16	42	TMEM52
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	C1orf222
2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-547D24.1
0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GABRD
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-547D24.3
0	0	1	0	0	7	7	0	0	0	19	0	0	0	0	0	0	1	0	2	0	0	0	0	1	5	0	0	PRKCZ
0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-892K4.1
0	1	0	3	1	11	32	10	0	10	17	0	2	1	0	0	2	0	3	0	1	1	5	0	10	12	2	2	RP11-181G12.2
57	7	68	33	37	141	235	205	25	125	164	158	21	54	16	19	27	33	55	31	26	40	155	82	266	219	91	143	C1orf86
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL590822.2
0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	AL590822.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-181G12.5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	RP11-181G12.4
51	6	48	4	90	231	241	126	52	104	399	147	61	78	24	13	11	82	57	10	13	8	101	111	120	389	71	62	SKI
289	36	230	17	132	141	176	222	55	162	30	147	159	185	31	35	56	157	218	26	19	23	182	161	199	82	141	270	MORN1
0	0	0	0	1	1	0	0	1	0	2	0	1	1	1	0	0	4	6	0	0	0	2	1	0	1	0	1	AL589739.1
4693	2364	5327	1190	1591	3682	3342	6179	1312	3475	617	3138	2888	2598	1063	1669	1705	2148	4124	2521	940	1299	4815	3490	5867	1084	2797	4706	RER1
107	75	134	117	42	192	258	478	42	244	32	244	30	91	51	79	47	53	89	140	96	194	248	146	562	54	254	312	PEX10
2	0	0	0	0	0	7	0	4	4	8	2	2	3	1	0	0	4	2	0	0	0	0	0	0	3	0	0	PLCH2
0	0	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP3-395M20.2
0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	RP3-395M20.3
1448	244	1772	59	500	510	632	1312	285	521	222	688	753	802	99	199	152	495	1256	193	84	89	867	624	1177	270	676	1236	PANK4
4	0	4	0	1	1	4	13	0	8	0	5	0	4	0	0	0	0	3	0	0	0	7	3	10	28	3	9	HES5
0	0	2	0	0	0	0	4	0	6	2	3	0	0	0	0	1	0	1	4	0	2	1	0	6	5	1	2	RP3-395M20.12
1548	135	1564	160	715	1118	1033	1132	404	427	1006	744	694	1314	371	185	185	944	996	112	120	133	847	1092	631	476	901	1632	TNFRSF14
0	0	0	2	0	1	1	0	0	0	12	1	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	1	RP3-395M20.7
2	0	3	0	1	2	2	3	0	0	3	0	4	5	0	2	0	3	0	0	0	0	4	2	2	0	2	2	RP3-395M20.9
1163	34	1546	7	211	449	418	2338	41	1132	70	1175	248	729	37	59	28	256	632	10	2	7	1739	1767	1785	356	1128	2355	FAM213B
0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	MMEL1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP13-436F16.1
7	0	2	0	3	15	16	5	0	11	16	16	0	11	1	2	0	1	4	5	0	0	3	5	14	16	4	11	TTC34
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-740P5.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	RP11-740P5.3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ACTRT2
0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LINC00982
0	0	0	0	0	11	15	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	PRDM16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP1-163G9.2
0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-22L13.1
0	0	0	0	0	7	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ARHGEF16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-168F9.2
14	8	7	1	2	148	501	1	5	1	276	3	6	7	7	12	8	8	7	34	8	7	2	6	6	33	2	2	MEGF6
4	46	4	7	5	30	34	2	6	2	3	3	0	2	11	7	8	5	6	56	11	11	1	5	3	3	3	5	RP11-46F15.2
318	1187	227	1026	452	139	372	150	826	92	246	156	619	332	1208	604	757	677	575	1426	1316	840	120	101	152	228	100	177	TPRG1L
764	154	881	191	460	867	833	1573	304	828	223	780	418	621	192	109	149	439	605	163	175	261	1238	918	1278	310	630	1142	WRAP73
44	0	61	9	28	53	12	10	17	5	33	19	21	31	17	1	4	49	37	0	14	4	10	37	10	16	12	11	TP73
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-1092A11.5
0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-1092A11.2
208	10	290	106	305	100	155	278	329	148	48	217	151	350	286	53	40	374	203	30	140	32	219	262	252	168	159	271	TP73-AS1
8	2	5	6	3	1	2	9	17	6	2	1	3	4	15	5	1	12	3	0	5	1	4	10	3	5	5	4	CCDC27
1332	75	1601	433	1135	190	133	976	1384	398	11	398	686	1255	1362	411	417	1785	1306	111	497	180	672	955	667	183	428	1218	SMIM1
291	51	274	99	206	329	555	700	263	461	422	470	195	330	223	55	87	367	189	77	108	56	591	394	675	835	357	501	LRRC47
15	1	9	6	6	20	16	12	14	9	2	10	6	9	13	3	4	14	13	2	5	2	6	8	12	7	4	5	RP1-286D6.5
170	51	187	75	116	200	193	285	144	201	103	192	189	182	133	79	104	199	231	51	62	34	255	173	276	218	153	190	CEP104
123	14	164	3	16	548	350	794	11	537	71	358	18	76	5	7	4	16	42	1	2	10	659	344	828	95	272	488	DFFB
1010	214	1215	242	406	1604	1006	2381	218	1903	147	1377	415	791	147	137	139	455	665	293	162	273	2546	1482	2110	358	1109	1669	C1orf174
5	2	22	8	7	11	16	20	3	1	10	8	24	6	16	5	17	14	18	16	11	14	9	10	7	12	4	19	LINC01134
0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	RP13-614K11.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP13-614K11.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP5-1166F10.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP1-37J18.1
0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	2	0	0	0	0	RP1-37J18.2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AJAP1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-542C10.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP1-58B11.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-154H17.1
371	38	484	25	231	432	582	756	161	358	190	395	265	260	64	50	56	202	353	59	60	41	431	317	652	294	340	648	NPHP4
523	92	581	86	325	7439	7237	1834	241	1853	4012	1577	313	278	138	140	138	348	446	104	81	43	1734	770	2700	1433	862	981	KCNAB2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	AL035406.1
0	10	0	7	1	9	11	2	4	1	11	8	1	0	3	2	1	2	0	21	7	10	0	2	3	2	2	1	CHD5
3254	205	3700	193	1206	6151	6505	6827	623	5311	2093	3304	1178	2189	511	351	453	1290	1779	258	201	162	6959	5176	5878	2837	2781	5064	RPL22
0	0	0	0	0	2	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	RP1-120G22.11
0	0	0	0	0	20	34	13	0	36	2	25	1	2	0	0	0	3	2	0	0	0	16	8	46	17	3	3	RNF207
1991	33	2098	19	640	3419	2198	3654	367	3346	285	1866	627	1091	73	163	63	589	1185	30	35	6	4008	2756	4107	710	1677	2452	ICMT
0	0	2	0	0	10	6	1	0	2	3	1	0	0	0	0	0	0	0	0	0	0	4	3	1	2	0	3	LINC00337
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HES3
2	0	0	0	1	214	162	25	0	11	38	13	0	0	0	0	0	0	2	1	0	0	15	16	8	22	4	5	GPR153
933	19	1168	9	269	1774	1576	3250	47	2123	232	1517	345	501	25	43	31	208	534	8	4	1	2823	1770	3375	630	1193	2275	ACOT7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP1-202O8.3
0	2	1	3	0	7	0	79	3	20	0	35	0	1	2	2	1	2	6	0	1	3	15	11	87	14	14	49	HES2
52	88	46	115	45	12	15	54	143	9	5	35	79	47	302	157	108	75	95	74	146	68	33	44	56	58	28	71	ESPN
0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	2	0	RP1-202O8.2
9	49	19	30	5	35	29	35	22	39	3	9	19	5	58	51	73	21	23	38	45	17	26	8	40	28	6	14	TNFRSF25
0	2	0	7	0	6	1	5	2	0	0	0	1	0	0	3	7	0	0	3	7	2	1	0	0	0	0	1	PLEKHG5
492	129	551	65	249	666	724	859	191	908	276	822	315	428	174	97	154	371	404	121	121	178	1048	738	921	639	636	689	NOL9
0	25	2	10	2	4	0	0	0	3	4	0	0	0	13	6	10	0	1	38	19	36	1	0	4	2	0	2	TAS1R1
414	842	499	276	200	805	1136	685	249	406	620	365	361	264	266	459	577	271	467	974	351	342	464	311	735	333	315	571	ZBTB48
1288	16914	1498	17010	646	1847	1553	2508	3167	1699	242	994	1423	695	6305	12952	5691	1347	2195	17699	11233	24786	1992	1441	2878	363	1067	2042	KLHL21
914	1288	1251	443	494	749	846	993	400	538	237	536	606	524	205	550	296	459	1105	1635	310	693	524	412	1061	275	343	665	PHF13
492	830	574	330	228	424	428	575	217	410	148	258	334	277	245	379	402	255	408	921	289	413	475	363	569	150	198	459	THAP3
1185	129	1292	60	236	1553	1084	4956	162	2621	133	1839	555	654	161	181	239	378	716	90	80	54	3987	2395	4435	451	1792	3580	DNAJC11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-242F24.1
1	0	2	3	0	4	4	4	1	6	3	0	1	2	0	1	0	1	5	1	1	1	4	0	4	8	3	2	RP11-312B8.1
579	109	621	94	510	997	998	671	343	562	562	610	404	501	147	78	92	444	671	113	91	92	709	465	687	732	414	529	CAMTA1
1	3	1	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	RP11-334N17.1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP3-453P22.2
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP4-549F15.1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	RP11-338N10.1
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	3	0	0	RP11-338N10.2
0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	RP11-338N10.3
1823	2767	2277	888	742	1555	1155	2407	860	1170	293	1277	1213	1225	671	1282	1380	1046	1855	2949	717	926	1823	1656	2056	394	1290	1940	VAMP3
171	22	205	8	17	205	372	687	7	161	52	95	66	40	12	43	28	19	104	12	6	0	184	119	519	78	70	518	PER3
6	2	2	0	1	6	11	18	0	1	0	1	10	0	0	2	0	0	10	0	0	0	14	4	5	2	0	8	RP3-467L1.4
