GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_AUTOPHAGY	392	52	4.84263049326e-08	1.9149247383e-05	MFN2:SESN2:LAMTOR5:PI4K2A:PI4K2A:TOLLIP:CTSD:TSG101:ATG13:ATG2A:RAB1B:BLOC1S1:UBC:DPF3:ZFYVE1:IST1:GABARAP:FXR2:UBB:BECN1:PLEKHM1:CALCOCO2:WIPI1:HGS:NPC1:STK11:ATG4D:SIRT2:ITPKC:TBC1D17:CHMP2A:ATG9A:ATG4B:MAP1LC3A:FBXO7:LMCD1:ATG3:LAMTOR3:ATG12:SQSTM1:HIST1H3A:HIST1H3D:TECPR1:FIS1:CTSB:TMEM74:VPS28:CDKN2A:RBM18:HDAC6:WDR45:ATG4A:FUNDC2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_AUTOPHAGY
GO_HEME_METABOLIC_PROCESS	29	11	5.18013905763e-08	1.9149247383e-05	UROD:PPOX:IBA57:HMBS:SLC25A39:FECH:BLVRB:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HEME_METABOLIC_PROCESS
GO_CHEMICAL_HOMEOSTASIS	869	92	8.96170612757e-08	3.03502631027e-05	SESN2:ATP6V0B:TMEM79:USF1:SLC30A1:ARF1:HKDC1:HK1:FAS:GOT1:CHRNA10:ADM:CRY2:DDB1:FTH1:GNG3:BAD:EHD1:UCP2:DGAT2:PFKM:DDIT3:CRY1:ATP6V1D:RMDN3:EPB42:PKD1:MT2A:HERPUD1:ATP6V0D1:CALB2:INPP5K:SLC2A4:ATP1B2:ORMDL3:ATP6V0A1:SLC4A1:MAFG:ASPSCR1:NPC1:MYO5B:STK11:MCOLN1:RAB11B:EPOR:DHPS:GCDH:CYP4F12:DMPK:BBC3:BAX:FTL:NR1H2:TNNI3:FKBP1B:STEAP3:CYBRD1:ABCB6:PTPRN:FAM132B:TGM2:HNF4A:STAU1:SOD1:ATP6V1E1:PVALB:PLA2G6:LTF:ATP6V1A:ADCY5:TF:EIF5A2:TP63:ABCG2:SNCA:CLCN3:ATP6V0E1:VEGFA:RHAG:AQP1:AQP1:CD36:TFR2:FIS1:KEL:ATP6V1B2:SLC25A37:CA2:ATP6V1C1:JAK2:AQP3:ALAS2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CHEMICAL_HOMEOSTASIS
GO_VESICLE_MEDIATED_TRANSPORT	1200	118	9.57853208833e-08	3.03502631027e-05	NECAP2:TRAPPC3:DNAJC6:PI4KB:S100A10:BGLAP:TMEM79:PEAR1:SPTA1:CYB5R1:CNTN2:ARF1:VPS26A:PSAP:SEC24C:PI4K2A:PI4K2A:BLOC1S2:SEC31B:ACTR1A:IGF2:HBB:FAM160A2:ADM:TSG101:CD59:ARFGAP2:EHD1:SCYL1:KLC2:RAB1B:YIF1A:CTTN:TMPRSS5:TMPRSS13:TMPRSS4:NECAP1:ENDOU:COPZ1:BLOC1S1:CORO1C:STX2:GOLGA3:ABCC4:PROZ:SPTB:KIF26A:HBA2:HBA1:MAPK8IP3:DYNC1LI2:ELMO3:CHMP1A:MYO1C:EPN2:RAB5C:BECN1:WIPI1:COG1:UBE2O:NPC1:MYO5B:ABCA7:SH3GL1:STXBP2:TRAPPC5:RAB11B:KXD1:SPTBN4:AP2S1:NAPA:AP2A1:TBC1D17:CHMP2A:RAB10:NRBP1:DYSF:TUBA4A:BCL2L1:TGM2:ARFGAP1:ARFRP1:SOD1:DNAJC28:ITSN1:MICAL3:PLA2G3:TOM1:PLA2G6:GOLGA4:COL7A1:TUSC2:TMEM115:ARF4:PROS1:STX19:TF:RAB6B:AP2M1:SNCA:MARCH3:CSNK1A1:VEGFA:IGF2R:MICALL2:SNX8:CD36:CCDC132:BET1:TFR2:ACHE:ARF5:DMTN:ANK1:VPS28:CDC37L1:CHMP5:GOLGA2:USP20	http://www.broadinstitute.org/gsea/msigdb/cards/GO_VESICLE_MEDIATED_TRANSPORT
GO_REGULATION_OF_CATABOLIC_PROCESS	728	80	1.24787769105e-07	3.69039029167e-05	ZC3H12A:ATP6V0B:PSMD4:DEDD:VPS26A:PSAP:ANAPC16:DDIT4:UBXN1:BAD:RAB1B:CTTN:MDM2:PSMD9:UBC:PSME1:ATP6V1D:ENTPD5:OAZ2:PKD1:RNF40:HERPUD1:ATP6V0D1:BANP:PSMB6:UBB:FLCN:ATP6V0A1:BECN1:CDC27:CALCOCO2:TOB1:HGS:NPC1:STK11:APC2:OAZ1:FZR1:DAPK3:KEAP1:RAD23A:SIRT2:SUPT5H:EGLN2:DHX34:BAX:FZD5:RHBDD1:ATG4B:TRIB3:PSMF1:BCL2L1:FAM83D:ATP6V1E1:GTPBP1:ABHD5:ARIH2:WDR6:USP19:ATP6V1A:PSMD2:SNCA:RNF14:CSNK1A1:ATP6V0E1:SQSTM1:GPLD1:HSPB1:BPGM:ATP6V1B2:SDCBP:ATP6V1C1:VPS28:CDKN2A:CDC26:GOLGA2:ANAPC2:HDAC6:PIM2:PGAM4	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_CATABOLIC_PROCESS
GO_AUTOPHAGOSOME_ORGANIZATION	43	13	1.42244243914e-07	3.94372166252e-05	MFN2:ATG13:ATG2A:BECN1:WIPI1:ATG4D:ATG9A:ATG4B:MAP1LC3A:ATG3:ATG12:WDR45:ATG4A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_AUTOPHAGOSOME_ORGANIZATION
GO_HOMEOSTATIC_PROCESS	1328	127	1.51406820398e-07	3.95082738403e-05	CLCN6:SESN2:ATP6V0B:PRDX1:ABCA4:TMEM79:SPTA1:USF1:SLC30A1:ARF1:HKDC1:HK1:FAS:GOT1:CHRNA10:ADM:SOX6:CRY2:DDB1:FTH1:GNG3:BAD:PRDX5:EHD1:POLD4:UCP2:DGAT2:PFKM:PTGES3:DDIT3:POC1B:CRY1:UBC:ATP6V1D:RMDN3:EPB42:HBZ:PKD1:SLX4:MT2A:HERPUD1:E2F4:ATP6V0D1:CALB2:INPP5K:RPA1:SLC2A4:ATP1B2:ORMDL3:ATP6V0A1:SLC4A1:MAFG:ASPSCR1:NPC1:MYO5B:STK11:MCOLN1:RAB11B:EPOR:DHPS:DNASE2:KLF1:GCDH:CYP4F12:CEBPG:EGLN2:DEDD2:KCNN4:DMPK:BBC3:BAX:FTL:FLT3LG:NR1H2:TNNI3:ID2:FKBP1B:BCL2L11:IL1A:STEAP3:CYBRD1:ABCB6:PTPRN:FAM132B:TGM2:HNF4A:STAU1:SOD1:ATP6V1E1:TXNRD2:TFIP11:PVALB:PLA2G6:SLC25A38:LTF:ATP6V1A:ADCY5:TF:EIF5A2:TP63:ABCG2:SNCA:BBS12:CLCN3:SLC12A7:GPR98:ATP6V0E1:HIST1H4J:VEGFA:RHAG:AQP1:AQP1:HSPB1:CD36:TFR2:FIS1:KEL:ATP6V1B2:DMTN:SLC25A37:CA2:ATP6V1C1:JAK2:AQP3:TXN:GATA1:ALAS2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HOMEOSTATIC_PROCESS
GO_RESPONSE_TO_TOXIC_SUBSTANCE	240	36	1.97810258015e-07	4.87492391419e-05	ALPL:UROD:PRDX1:SHC1:MGST3:PRDX6:SLC30A1:FAS:HBB:CAT:PRDX5:CCS:HMBS:MDM2:ESR2:HBA2:HBA1:CDH1:AOC3:FECH:GPX4:PRDX2:PPP1R15A:BAX:RAB10:ID1:SOD1:TXNRD2:HYAL1:CPOX:SLC7A11:CDKN1A:JAK2:ALAD:HDAC6:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_TOXIC_SUBSTANCE
GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	146	26	2.23960860362e-07	5.22889671877e-05	ATP6V0B:SHC1:USF1:SORBS1:GOT1:IGF2:UCP2:ATP6V1D:CPEB1:ATP6V0D1:BCAR1:INPP5K:SLC2A4:ATP6V0A1:RAB10:TRIB3:ATP6V1E1:BAIAP2L2:KAT2B:ATP6V1A:GAB1:ATP6V0E1:GPLD1:ATP6V1B2:ATP6V1C1:RXRA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS
GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE	148	26	2.9812747052e-07	6.61246729613e-05	UROD:BGLAP:SLC30A1:SLC30A10:BAD:HMBS:MDM2:MT2A:SLFN14:FECH:BSG:PPP1R15A:NUCB1:BAX:IL1A:CYBRD1:SOD1:CPOX:TF:ABCG2:SNCA:AQP1:AQP1:TFR2:CA2:ALAD:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE
GO_RESPONSE_TO_OXYGEN_RADICAL	18	8	3.4649313083e-07	6.99471258731e-05	ADPRHL2:PRDX1:CCS:UCP2:PRDX2:SOD1:TXNRD2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_OXYGEN_RADICAL
GO_CELLULAR_HOMEOSTASIS	673	74	3.4689737809e-07	6.99471258731e-05	CLCN6:SESN2:ATP6V0B:SLC30A1:ARF1:HKDC1:HK1:FAS:CHRNA10:ADM:FTH1:GNG3:UCP2:DGAT2:PFKM:DDIT3:UBC:ATP6V1D:RMDN3:PKD1:MT2A:HERPUD1:E2F4:ATP6V0D1:CALB2:ATP1B2:ORMDL3:ATP6V0A1:SLC4A1:MAFG:MCOLN1:RAB11B:EPOR:EGLN2:DEDD2:KCNN4:DMPK:BBC3:BAX:FTL:TNNI3:FKBP1B:CYBRD1:ABCB6:PTPRN:FAM132B:TGM2:SOD1:ATP6V1E1:TXNRD2:PVALB:PLA2G6:LTF:ATP6V1A:ADCY5:TF:ABCG2:CLCN3:SLC12A7:ATP6V0E1:RHAG:AQP1:AQP1:CD36:TFR2:FIS1:KEL:ATP6V1B2:CA2:ATP6V1C1:JAK2:AQP3:TXN:ALAS2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_HOMEOSTASIS
GO_TRANSITION_METAL_ION_TRANSPORT	107	21	4.4199907899e-07	8.52481701913e-05	ATP6V0B:SLC30A1:SLC30A10:FTH1:CCS:ATP6V1D:ATP6V0D1:ATP6V0A1:MCOLN1:RAB11B:FTL:STEAP3:ATP6V1E1:ATP6V1A:TF:ATP6V0E1:TFR2:ATP6V1B2:SLC25A37:ATP6V1C1:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TRANSITION_METAL_ION_TRANSPORT
GO_CELLULAR_CHEMICAL_HOMEOSTASIS	567	64	7.94428994848e-07	0.000146836959214	SESN2:ATP6V0B:SLC30A1:ARF1:HKDC1:HK1:FAS:CHRNA10:ADM:FTH1:GNG3:UCP2:DGAT2:DDIT3:ATP6V1D:RMDN3:PKD1:MT2A:HERPUD1:ATP6V0D1:CALB2:ATP1B2:ORMDL3:ATP6V0A1:SLC4A1:MAFG:MCOLN1:RAB11B:EPOR:DMPK:BBC3:BAX:FTL:TNNI3:FKBP1B:CYBRD1:ABCB6:PTPRN:FAM132B:TGM2:SOD1:ATP6V1E1:PVALB:PLA2G6:LTF:ATP6V1A:ADCY5:TF:ABCG2:CLCN3:ATP6V0E1:RHAG:AQP1:AQP1:CD36:TFR2:FIS1:KEL:ATP6V1B2:CA2:ATP6V1C1:JAK2:AQP3:ALAS2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_CHEMICAL_HOMEOSTASIS
GO_CATABOLIC_PROCESS	1750	155	8.29866009114e-07	0.000147251424657	ISG15:KLHL21:HMGCL:UBXN11:SESN2:ZC3H12A:HECTD3:PRDX1:CTH:OTUD7B:PSMD4:USP21:PRDX6:GLUL:NPL:KLHDC8A:LYPLAL1:RNF187:HKDC1:HK1:ANAPC16:PI4K2A:PI4K2A:GOT1:FBXW4:OAT:CHID1:CTSD:HBB:TSG101:CAT:ATG13:DDB1:UBXN1:BAD:PRDX5:ATG2A:KAT5:CARNS1:ALDH3B1:PFKM:BLOC1S1:HSD17B6:DDIT3:USP15:MDM2:UBE3B:SDS:HPD:PSMD9:UBC:PNP:PSME1:DPF3:OTUD7A:ISG20:HBA2:HBA1:HAGH:RPL3L:DNASE1L2:AMDHD2:DNASE1:RNF40:HERPUD1:CES2:WWP2:IST1:ACSF3:INPP5K:PSMB6:UBB:SLFN14:BECN1:CDC27:SCPEP1:WIPI1:CDC34:FZR1:PNPLA6:KEAP1:ATG4D:DHPS:PRDX2:DNASE2:GCDH:RAD23A:CYP4F12:SIRT2:BLVRB:ITPKC:DEDD2:DHX34:RNF181:ATG9A:ANKZF1:RHBDD1:ATG4B:RBCK1:PSMF1:SMOX:MAP1LC3A:COL18A1:PLA2G3:FBXO7:PLA2G6:APOBEC3A:RBX1:LMCD1:COLQ:COL7A1:ARIH2:USP19:HYAL1:BAP1:ATG3:KPNA1:NCEH1:PSMD2:EIF4G1:ETFDH:FBXO8:ATG12:RNF14:GNPDA1:CSNK1A1:SQSTM1:APOBEC2:FBXO9:RNF146:OGDH:ACHE:FIS1:PNPLA8:DNAJB9:BPGM:TMUB1:CTSB:LSM1:VPS28:CDKN2A:CTSL:CTSV:CDC26:CRAT:USP20:ANAPC2:SAT1:HDAC6:WDR45:PGAM4:GLA:ATG4A:COL4A6:RENBP:FUNDC2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CATABOLIC_PROCESS
GO_PROTEIN_CATABOLIC_PROCESS	569	64	8.9881282108e-07	0.000153351295166	ISG15:KLHL21:UBXN11:HECTD3:OTUD7B:PSMD4:USP21:KLHDC8A:LYPLAL1:RNF187:ANAPC16:FBXW4:CTSD:TSG101:DDB1:UBXN1:KAT5:DDIT3:USP15:MDM2:UBE3B:PSMD9:UBC:PSME1:OTUD7A:RNF40:HERPUD1:WWP2:PSMB6:UBB:CDC27:SCPEP1:CDC34:FZR1:KEAP1:RAD23A:SIRT2:RNF181:ANKZF1:RHBDD1:RBCK1:PSMF1:FBXO7:RBX1:ARIH2:USP19:BAP1:PSMD2:FBXO8:RNF14:CSNK1A1:SQSTM1:FBXO9:RNF146:DNAJB9:TMUB1:CTSB:VPS28:CTSL:CTSV:CDC26:USP20:ANAPC2:HDAC6	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEIN_CATABOLIC_PROCESS
GO_RESPONSE_TO_INSULIN	205	31	9.82162230704e-07	0.000161365616867	SESN2:ATP6V0B:SHC1:USF1:SORBS1:GOT1:IGF2:ADM:CAT:UCP2:CRY1:ATP6V1D:CPEB1:ATP6V0D1:BCAR1:INPP5K:SLC2A4:ATP6V0A1:RAB10:PTPRN:TRIB3:ATP6V1E1:BAIAP2L2:KAT2B:ATP6V1A:GAB1:ATP6V0E1:GPLD1:ATP6V1B2:ATP6V1C1:RXRA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_INSULIN
GO_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS	20	8	1.07016961062e-06	0.000169545442597	PRDX1:PRDX6:HBB:CAT:PRDX5:HBA2:HBA1:PRDX2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS
GO_TETRAPYRROLE_METABOLIC_PROCESS	57	14	1.13330699421e-06	0.000173356890563	UROD:SPTA1:PPOX:IBA57:HMBS:SLC25A39:FECH:BLVRB:MMADHC:ABCB6:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TETRAPYRROLE_METABOLIC_PROCESS
GO_MYELOID_CELL_HOMEOSTASIS	88	18	1.21988953464e-06	0.000180380999189	PRDX1:SOX6:EPB42:HBZ:DNASE2:KLF1:CEBPG:BAX:ID2:BCL2L11:SOD1:SLC25A38:VEGFA:RHAG:DMTN:JAK2:GATA1:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MYELOID_CELL_HOMEOSTASIS
GO_PROTEOLYSIS	1151	109	1.8202676997e-06	0.000260474435996	ISG15:KLHL21:MUL1:UBXN11:ZC3H12A:HECTD3:OTUD7B:PSMD4:BGLAP:USP21:ADAMTS4:KLHDC8A:RNF187:ANAPC16:FAS:FBXW4:CTSD:NRIP3:TSG101:DDB1:UBXN1:BAD:KAT5:RCE1:CAPN5:TMPRSS5:PCSK7:TMPRSS13:TMPRSS4:ENDOU:DDIT3:USP15:MDM2:CRADD:UBE3B:PSMD9:UBC:PROZ:PSME1:ADAM20:IFI27:OTUD7A:RPS27L:PCSK6:RNF40:HERPUD1:WWP2:CHMP1A:PSMB6:UBB:MAP2K3:CDC27:SCPEP1:CDC34:TMPRSS9:FZR1:MAP2K2:KEAP1:ATG4D:RAD23A:BABAM1:PSENEN:SIRT2:BBC3:BAX:JOSD2:RNF181:BCL2L11:ANKZF1:RHBDD1:ATG4B:RBCK1:PSMF1:YBEY:FBXO7:RBX1:DESI1:LTF:ARIH2:USP19:MST1:BAP1:PROS1:PSMD2:TMPRSS11F:SNCA:FBXO8:RNF14:CSNK1A1:SQSTM1:UNC5CL:FBXO9:RNF146:RELN:DNAJB9:KEL:TMUB1:CTSB:VPS28:JAK2:CDKN2A:CTSL:CTSV:CDC26:PAPPA:USP20:ANAPC2:HDAC6:ATG4A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PROTEOLYSIS
GO_PHAGOSOME_ACIDIFICATION	27	9	2.31546868435e-06	0.000316926846668	ATP6V0B:ATP6V1D:ATP6V0D1:ATP6V0A1:ATP6V1E1:ATP6V1A:ATP6V0E1:ATP6V1B2:ATP6V1C1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PHAGOSOME_ACIDIFICATION
GO_RESPONSE_TO_INORGANIC_SUBSTANCE	478	55	2.35766139316e-06	0.000316926846668	ADPRHL2:ZC3H12A:UROD:PRDX1:SHC1:BGLAP:NTRK1:SLC30A1:SLC30A10:FAS:HBB:CAT:BAD:CCS:UCP2:HMBS:DDIT3:MDM2:ESR2:HBA2:HBA1:MT2A:CDH1:SLFN14:BECN1:NPC1:FECH:BSG:KEAP1:JUNB:PRDX2:PPP1R15A:BAX:ID2:FKBP1B:IL1A:CYBRD1:SOD1:COL18A1:TXNRD2:CPOX:TF:ABCG2:SNCA:GPLD1:AQP1:AQP1:TFR2:DMTN:CA2:AQP3:ALAD:RXRA:HDAC6:ATP7A:GDI1	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_INORGANIC_SUBSTANCE
GO_IRON_ION_HOMEOSTASIS	68	15	2.53346501779e-06	0.000330542671145	FTH1:EPB42:FTL:STEAP3:CYBRD1:ABCB6:FAM132B:SOD1:LTF:TF:ABCG2:RHAG:TFR2:SLC25A37:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_IRON_ION_HOMEOSTASIS
GO_PIGMENT_BIOSYNTHETIC_PROCESS	47	12	3.18702960939e-06	0.000403933238493	UROD:PPOX:IBA57:HMBS:MC1R:CTNS:SLC25A39:FECH:SLC25A38:CPOX:ALAD:ALAS2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_PIGMENT_BIOSYNTHETIC_PROCESS
GO_CELLULAR_COMPONENT_DISASSEMBLY	511	57	4.23788596006e-06	0.000522201725523	DNAJC6:LMNA:ADAMTS4:LAMB3:MRPL55:DDIT4:PI4K2A:PI4K2A:MICAL2:ATG13:TRMT112:ATG2A:NFE2:BLOC1S1:NUPL1:DPF3:MRPL28:CDH1:IST1:CHMP1A:NUP88:BECN1:WIPI1:KIF19:MRPL38:BSG:ATG4D:DNASE2:ITPKC:DEDD2:NAPA:CHMP2A:FZD5:VIL1:ATG9A:ATG4B:MAP1LC3A:MICAL3:TFIP11:FBXO7:LMCD1:ATG3:KPNA1:ATG12:CSNK1A1:SQSTM1:FIS1:SHARPIN:CDKN2A:CHMP5:CTSL:CTSV:GOLGA2:HDAC6:WDR45:ATG4A:EMD:FUNDC2	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CELLULAR_COMPONENT_DISASSEMBLY
GO_RESPONSE_TO_IRON_ION	35	10	4.63858134634e-06	0.000556128293307	UROD:MDM2:CYBRD1:CPOX:TF:ABCG2:SNCA:TFR2:ALAD:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_IRON_ION
GO_TRANSITION_METAL_ION_HOMEOSTASIS	105	19	5.05841803827e-06	0.000590503747836	SLC30A1:ARF1:FTH1:EPB42:MT2A:FTL:STEAP3:CYBRD1:ABCB6:FAM132B:SOD1:LTF:TF:ABCG2:RHAG:TFR2:SLC25A37:ALAS2:ATP7A	http://www.broadinstitute.org/gsea/msigdb/cards/GO_TRANSITION_METAL_ION_HOMEOSTASIS
