GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	100	25	8.49595621532e-13	3.42618743374e-10	TNFRSF8:PTAFR:SLAMF1:FCER1G:ADAM8:TIRAP:IL23A:THBS1:VIMP:PYCARD:NOD2:CYBA:CCL2:AZU1:AXL:C5AR2:CCR2:TLR9:TLR9:SPON2:PF4:CD14:CLU:LY96:TLR4:CARD9	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION
GO_RESPONSE_TO_CYTOKINE	709	77	5.73076934696e-12	2.11847440193e-09	TNFRSF18:TNFRSF4:TNFRSF8:IFI6:PTAFR:TRIM62:PTGER3:F3:FCGR1A:EDARADD:IL2RA:CTR9:CLCF1:P2RY2:KRT18:OASL:B2M:DUOX2:ALDH1A2:CDIP1:SOCS1:IL21R:CORO1A:PYCARD:CYBA:TMEM102:TNFSF13:CCL2:CCL5:CCL23:SBNO2:TNFSF14:ICAM1:BST2:SLC27A1:CEBPA:AXL:NLRP12:ADAM17:GPR75:IL1RL1:IL18R1:IL18RAP:CXCR2:CXCR1:HCK:CEBPB:RTN4R:CSF2RB:IL5RA:IL17RE:CX3CR1:CCR3:CCR1:CCR2:CCR5:HYAL3:PRKCD:ST3GAL6:IL1RAP:PF4:PPBP:CXCL3:ACSL1:IL4:CD14:CSF1R:STAR:VLDLR:IL11RA:NPR2:HSPA5:CDK9:ADAMTS13:CSF2RA:IL3RA:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_CYTOKINE
GO_RESPONSE_TO_BACTERIUM	502	61	7.80000765907e-12	2.66160261351e-09	TNFRSF18:TNFRSF4:TNFRSF8:CNR2:FGR:PTAFR:PTGER3:F3:S100A8:FCER1G:PLAU:CTR9:NR1H3:PRG2:P2RY2:TIRAP:IL23A:SCARB1:RNASE3:CEBPE:CTSG:B2M:VIMP:SOCS1:PYCARD:NOD2:HP:CCL2:CCL5:LPO:AZU1:ELANE:SBNO2:TBXA2R:ICAM1:AXL:PTGIR:C5AR1:ADAM17:GNLY:HCK:CEBPB:CX3CR1:CCR2:CCR5:GPX1:TLR9:TLR9:STAB1:PRKCD:SPON2:PF4:PPBP:CXCL3:ANXA3:CD14:GNRH1:STAR:LY96:VLDLR:TLR4:CARD9	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_BACTERIUM
GO_ENDOCYTOSIS	478	59	8.70631036427e-12	2.75865662685e-09	FGR:PTGER3:FCGR1A:SLAMF1:FCER1G:PACSIN3:NR1H3:RIN1:APOA1:HYOU1:CD9:SCARB1:RAB20:CEBPE:THBS1:PSTPIP1:APOBR:RABEP2:CORO1A:PYCARD:CETP:HP:PLD2:ASGR1:UNC119:MRC2:CSNK1D:RAB31:ELANE:PIP5K1C:HOOK2:EPS15L1:FCHO1:AXL:STON1:LOXL3:CXCR2:CXCR1:RAMP1:HCK:ELMO2:ITGB2:STAB1:PRKCD:GATA2:SPON2:ALB:ANXA3:SLC9A3:CD14:ADRB2:MYO6:ENPP3:ACTB:MYO1G:LIMK1:CAV2:VLDLR:GSN	http://www.broadinstitute.org/gsea/msigdb/cards/GO_ENDOCYTOSIS
GO_LOCOMOTION	1103	104	9.39077579068e-12	2.77716542716e-09	TNFRSF4:FGR:PTAFR:TGFBR3:S1PR1:RHOC:S100A8:SLAMF1:CD48:FCER1G:CR1:UNC5B:PLAU:DPYSL4:ADAM8:DGKZ:PTGDR2:CATSPER1:APOA1:KIRREL3:C3AR1:KRT2:SCARB1:RNASE2:MMP14:CMTM5:THBS1:DAPK2:ITGA11:CSPG4:PSTPIP1:FES:DNAH3:CORO1A:ITGAM:ITGAX:SPNS3:PLD2:CCL2:CCL5:CCL23:EPX:GRIN2C:SLC16A3:AZU1:ELANE:PIP5K1C:ICAM1:GIPC1:AXL:CEACAM1:PLAUR:VASP:C5AR1:C5AR2:TRPM4:FPR1:FPR2:NLRP12:MBOAT7:GP6:ADAM17:DPP4:CXCR2:CXCR1:SCG2:GPC1:HCK:ELMO2:SNAI1:ITGB2:PDGFB:CELSR1:TYMP:CX3CR1:CCR3:CCR1:CCR2:CCR5:PLXNB1:GPX1:PRKCD:GATA2:SPON2:PF4:PPBP:CXCL3:PPAP2A:THBS4:IL4:SPOCK1:GFRA3:CSF1R:UNC5A:SLC26A8:MYO1G:CAV2:PLXNA4:CLEC5A:PTP4A3:TOR1A:FUT7:CXCR3:FLNA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_LOCOMOTION
GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	829	85	1.04561743207e-11	2.89897433041e-09	TNFRSF18:TNFRSF4:FGR:PTAFR:PTGER3:CD101:FCGR1A:CTSK:CHRNB2:MNDA:SLAMF1:FCER1G:LAX1:CR1:HLX:IL2RA:ADAM8:NR1H3:CLCF1:UNC93B1:TIRAP:C3AR1:CACNB3:IL23A:MMP14:CTSG:THBS1:B2M:DAPK2:CD276:FES:CORO1A:PYCARD:ITGAM:NOD2:NLRC5:CYBA:PLD2:TMEM102:TNFSF13:PIK3R6:CCL2:CCL5:CD300A:CD226:ELANE:AP3D1:TNFSF14:FCER2:ICAM1:AXL:TEX101:PRKD2:C5AR1:ADAM17:IL1RL1:DPP4:IGFBP2:HCK:ELMO2:ITGB2:LIF:LGALS1:CCR1:CCR2:TLR9:TLR9:PRKCD:GATA2:SPON2:PF4:PPBP:CXCL3:THBS4:IL4:CD14:CSF1R:ACTB:MYO1G:LIMK1:CLU:LY96:TLR4:CARD9:C8G:VSIG4	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GO_RESPONSE_TO_EXTERNAL_STIMULUS	1783	147	1.51539630445e-11	3.95429294502e-09	TNFRSF18:TNFRSF4:TNFRSF8:CNR2:FGR:PTAFR:TMEM39B:PTGER3:F3:S1PR1:S100A8:FCER1G:BATF3:ALOX5:PRF1:UNC5B:PLAU:DPYSL4:ADAM8:CTR9:SLC35C1:NR1H3:PRG2:PTGDR2:PITPNM1:UNC93B1:P2RY2:APOA1:TIRAP:CACNA2D4:C3AR1:AQP2:SLC39A5:IL23A:OASL:SCARB1:RNASE3:RNASE2:DAD1:MMP14:CEBPE:CMTM5:CTSG:BATF:MEIS2:B2M:DUOX2:ALDH1A2:PKM:FES:VIMP:SOCS1:CORO1A:PYCARD:NOD2:NLRC5:NQO1:HP:COTL1:CYBA:UNC119:CCL2:CCL5:CCL23:EPX:LPO:SERPINB10:AZU1:ELANE:SBNO2:AP3D1:TBXA2R:PIP5K1C:TNFSF14:ICAM1:BST2:GMIP:AXL:PLAUR:VASP:GIPR:PTGIR:NPAS1:C5AR1:C5AR2:TRPM4:FPR1:FPR2:ADAM17:GNLY:ANKRD23:IGFBP2:CXCR2:CXCR1:INHA:SCG2:SERPINE2:GPC1:HCK:MMP24:ELMO2:CEBPB:ITGB2:PDGFB:TYMP:CX3CR1:CCR3:CCR1:CCR2:CCR5:PLXNB1:GPX1:HYAL3:TLR9:TLR9:STAB1:PRKCD:MYLK:CPA3:CP:SPON2:ALB:PF4:PPBP:CXCL3:ANXA3:SPP1:ACSL1:IL4:GFRA3:REEP2:CD14:ADRB2:CSF1R:UNC5A:UPP1:PLXNA4:AOC1:GNRH1:CLU:STAR:LY96:VLDLR:TLR4:GSN:HSPA5:CARD9:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_EXTERNAL_STIMULUS
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	448	56	1.70369351496e-11	4.19865801798e-09	TNFRSF18:TNFRSF4:TNFRSF8:IFI6:PTAFR:TRIM62:F3:FCGR1A:EDARADD:IL2RA:CTR9:CLCF1:KRT18:OASL:B2M:DUOX2:CDIP1:SOCS1:IL21R:PYCARD:TNFSF13:CCL2:CCL5:CCL23:TNFSF14:ICAM1:BST2:SLC27A1:CEBPA:ADAM17:GPR75:IL1RL1:IL18R1:CXCR2:CXCR1:HCK:RTN4R:CSF2RB:IL5RA:IL17RE:CX3CR1:CCR3:CCR1:CCR2:CCR5:PRKCD:IL1RAP:PF4:PPBP:CXCL3:ACSL1:CSF1R:IL11RA:CSF2RA:IL3RA:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	149	29	1.85557350103e-11	4.33227581609e-09	TNFRSF18:PADI2:PTAFR:PTGER3:ADAM8:TIRAP:C3AR1:IL23A:RIPK3:THBS1:DAPK2:PYCARD:TMEM102:CCL2:CCL5:CD300A:TNFSF14:ICAM1:C5AR1:C5AR2:ADAM17:CCR1:CCR2:PF4:PPBP:CXCL3:THBS4:IL4:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_LEUKOCYTE_MIGRATION
GO_LEUKOCYTE_MIGRATION	257	39	4.45164937437e-11	9.76294027314e-09	S1PR1:S100A8:CD48:FCER1G:ADAM8:DAPK2:CORO1A:ITGAM:ITGAX:CCL2:CCL5:CCL23:EPX:SLC16A3:AZU1:ELANE:PIP5K1C:ICAM1:CEACAM1:C5AR1:TRPM4:NLRP12:GP6:CXCR2:CXCR1:SCG2:HCK:ITGB2:PDGFB:CX3CR1:CCR1:CCR2:CCR5:PF4:PPBP:CXCL3:MYO1G:FUT7:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_LEUKOCYTE_MIGRATION
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	109	24	4.62177064328e-11	9.76294027314e-09	TNFRSF18:PTAFR:PTGER3:ADAM8:TIRAP:C3AR1:IL23A:THBS1:DAPK2:PYCARD:TMEM102:CCL2:CCL5:TNFSF14:ICAM1:C5AR1:ADAM17:CCR1:CCR2:PF4:PPBP:CXCL3:THBS4:IL4	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION
GO_BIOLOGICAL_ADHESION	1018	96	5.97955165703e-11	1.2056950523e-08	TNFRSF4:PTPRU:S1PR1:S100A8:THBS3:CADM3:SLAMF1:FCER1G:ACTN2:DLG5:CDHR1:ADAM8:LPXN:MPZL3:KIRREL3:IGSF9B:CD9:ITGA7:IL23A:SCARB1:CDH24:RIPK3:BATF:JAG2:THBS1:B2M:SMAD6:ITGA11:CD276:PSTPIP1:HAPLN3:CLDN9:CORO1A:ITGAM:ITGAX:KIFC3:SPG7:CCL2:CCL5:CD300A:MYL12A:CD226:PIP5K1C:TNFSF14:ICAM1:HSH2D:LGALS4:AXL:CEACAM1:PRKD2:CD33:SIGLEC12:SIGLEC6:SIGLEC5:SIGLEC5:SIGLEC14:HAS1:FPR2:TTYH1:ADAM17:EMILIN1:IL18R1:TNFAIP6:DPP4:HCK:MMP24:ELMO2:CEBPB:CASS4:ITGB2:CELSR1:CX3CR1:CCR3:CCR1:STAB1:CSTA:GP9:SPON2:HPSE:SPP1:THBS4:IL4:SPOCK1:NEDD9:NT5E:LFNG:ACTB:MYO1G:COL15A1:CERCAM:TOR1A:ADAMTS13:FUT7:ARHGAP6:BMX:CXCR3:FLNA	http://www.broadinstitute.org/gsea/msigdb/cards/GO_BIOLOGICAL_ADHESION
GO_POSITIVE_REGULATION_OF_CHEMOTAXIS	120	25	7.39560998282e-11	1.4263880819e-08	F3:S1PR1:TIRAP:C3AR1:IL23A:THBS1:DAPK2:TMEM102:CCL2:CCL5:AZU1:TNFSF14:PRKD2:C5AR1:ADAM17:SCG2:PDGFB:CCR1:CCR2:PF4:PPBP:CXCL3:THBS4:IL4:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_CHEMOTAXIS
GO_RESPONSE_TO_BIOTIC_STIMULUS	860	84	1.66149246915e-10	2.96258493265e-08	TNFRSF18:TNFRSF4:TNFRSF8:CNR2:FGR:PTAFR:TMEM39B:PTGER3:F3:S100A8:FCER1G:BATF3:PRF1:PLAU:CTR9:SLC35C1:NR1H3:PRG2:UNC93B1:P2RY2:TIRAP:IL23A:OASL:SCARB1:RNASE3:CEBPE:CTSG:BATF:B2M:DUOX2:VIMP:SOCS1:PRRT2:PYCARD:NOD2:NLRC5:HP:COTL1:CCL2:CCL5:EPX:LPO:SERPINB10:AZU1:ELANE:SBNO2:TBXA2R:ICAM1:BST2:GMIP:AXL:TMEM91:PTGIR:C5AR1:ADAM17:GNLY:HCK:CEBPB:CX3CR1:CCR2:CCR5:GPX1:HYAL3:TLR9:TLR9:STAB1:PRKCD:MYLK:CPA3:SPON2:PF4:PPBP:CXCL3:ANXA3:IL4:REEP2:CD14:GNRH1:CLU:STAR:LY96:VLDLR:TLR4:HSPA5:CARD9	http://www.broadinstitute.org/gsea/msigdb/cards/GO_RESPONSE_TO_BIOTIC_STIMULUS
GO_MYELOID_LEUKOCYTE_ACTIVATION	98	22	1.6774276456e-10	2.96258493265e-08	S100A13:SLAMF1:FCER1G:BATF3:SPI1:PRG3:BATF:PYCARD:CCL5:MILR1:AZU1:SBNO2:TYROBP:CXCR2:CX3CR1:PRKCD:GATA2:PPBP:ANXA3:IL4:CLU:TLR4	http://www.broadinstitute.org/gsea/msigdb/cards/GO_MYELOID_LEUKOCYTE_ACTIVATION
GO_LEUKOCYTE_ACTIVATION	412	51	1.80319641978e-10	2.96258493265e-08	TNFRSF4:S100A13:CHRNB2:SLAMF1:FCER1G:LAX1:BATF3:PRF1:SPI1:PRG3:CLCF1:IL23A:RIPK3:BATF:JAG2:B2M:CD276:IL21R:CORO1A:PYCARD:GPR97:CCL5:IKZF3:MILR1:AZU1:SBNO2:TNFSF14:ICAM1:HSH2D:BST2:TYROBP:AXL:ADAM17:IL18R1:DPP4:CXCR2:CEBPB:ITGB2:LGALS1:CX3CR1:PRKCD:GATA2:PPBP:ANXA3:IL4:LFNG:POLM:CLU:TLR4:FUT7:BMX	http://www.broadinstitute.org/gsea/msigdb/cards/GO_LEUKOCYTE_ACTIVATION
GO_REGULATION_OF_RESPONSE_TO_WOUNDING	412	51	1.80319641978e-10	2.96258493265e-08	CNR2:PTGER3:F3:TNFAIP8L2:S100A8:FCER1G:CR1:IL2RA:PLAU:ADAM8:NR1H3:APOA1:C3AR1:IL23A:THBS1:CAPN3:ANXA2:CD276:VIMP:NOD2:ALOX12:CCL2:CCL5:CCL23:METRNL:ELANE:SBNO2:PLAUR:C5AR1:C5AR2:NLRP12:IL1RL1:TNFAIP6:SERPINE2:HCK:PDGFB:CX3CR1:CCR2:GPX1:TLR9:TLR9:PRKCD:MYLK:HPSE:SPP1:IL4:ADRB2:F12:NT5E:TLR4:GSN:C8G	http://www.broadinstitute.org/gsea/msigdb/cards/GO_REGULATION_OF_RESPONSE_TO_WOUNDING
GO_LEUKOCYTE_CHEMOTAXIS	117	24	2.34610992461e-10	3.7169084377e-08	S100A8:FCER1G:ADAM8:CORO1A:CCL2:CCL5:CCL23:AZU1:PIP5K1C:C5AR1:TRPM4:CXCR2:CXCR1:SCG2:ITGB2:PDGFB:CX3CR1:CCR1:CCR2:CCR5:PF4:PPBP:CXCL3:CXCR3	http://www.broadinstitute.org/gsea/msigdb/cards/GO_LEUKOCYTE_CHEMOTAXIS
