NC7_1_S11	NC7_2_S12	NC7_3_S13	TMCC_6_1_S14	TMCC_6_2_S15	TMCC_9_2_S16	TMCC_9_3_S17	genes
2	0	1	0	3	0	1	SCNN1D
15	11	22	17	15	15	24	ACAP3
119	130	110	119	123	93	102	PUSL1
1105	1351	1166	1290	1329	1246	1126	CPSF3L
167	283	260	253	271	206	240	GLTPD1
189	265	216	219	200	147	155	TAS1R3
38	29	26	48	46	44	33	DVL1
2	0	1	1	0	1	0	MXRA8
694	910	797	913	838	809	697	AURKAIP1
554	710	462	496	601	650	770	CCNL2
159	198	167	188	209	237	181	RP4-758J18.2
286	414	347	395	379	358	319	MRPL20
21	14	13	13	5	13	13	RP4-758J18.13
0	0	0	0	0	0	0	ANKRD65
0	1	0	0	0	0	0	RP4-758J18.7
0	0	0	0	0	0	0	TMEM88B
0	0	1	0	0	0	0	RP4-758J18.10
0	1	0	0	0	0	2	VWA1
1	3	1	2	1	3	3	ATAD3C
21	24	18	23	38	18	16	ATAD3B
17	32	21	38	34	29	25	ATAD3A
0	0	0	0	0	0	0	TMEM240
572	589	459	461	533	503	523	SSU72
3	1	0	2	1	1	4	AL645728.1
0	0	0	0	0	0	0	C1orf233
8	13	16	8	10	8	11	RP11-345P4.9
21	35	28	16	22	41	30	MIB2
5	6	5	4	1	4	2	MMP23B
85	102	86	107	97	104	95	CDK11B
0	0	0	0	0	0	0	RP11-345P4.10
401	472	404	428	444	422	438	SLC35E2B
9	1	3	11	8	3	4	RP11-345P4.7
427	553	436	460	534	615	614	CDK11A
54	41	31	39	44	45	43	SLC35E2
176	201	170	201	201	195	210	NADK
162	218	181	157	183	150	164	GNB1
1	1	1	3	2	1	1	RP1-140A9.1
0	0	0	0	1	1	0	CALML6
2	2	0	6	3	5	3	TMEM52
1	0	0	2	1	1	0	C1orf222
0	0	0	0	0	0	0	RP11-547D24.1
0	0	0	0	0	0	0	GABRD
0	0	0	0	0	0	0	RP11-547D24.3
0	1	0	0	0	0	0	PRKCZ
0	0	0	0	0	0	0	RP5-892K4.1
1	2	3	0	1	1	0	RP11-181G12.2
78	87	87	69	100	69	75	C1orf86
0	0	0	0	0	0	0	AL590822.2
0	0	0	0	0	0	0	AL590822.1
0	0	0	0	0	0	0	RP11-181G12.5
0	0	0	0	0	0	0	RP11-181G12.4
26	30	34	42	39	32	37	SKI
31	51	42	67	58	42	45	MORN1
0	0	1	1	0	1	0	AL589739.1
1832	2274	1713	1809	1891	1929	1973	RER1
52	66	42	57	36	49	43	PEX10
0	3	0	0	0	2	0	PLCH2
0	0	0	0	0	0	0	RP3-395M20.2
0	0	0	0	0	0	0	RP3-395M20.3
161	177	131	220	178	156	141	PANK4
0	0	0	0	0	0	0	HES5
1	0	0	3	1	0	8	RP3-395M20.12
376	493	346	391	427	457	435	TNFRSF14
0	0	0	0	1	0	0	RP3-395M20.7
0	0	0	0	0	0	0	RP3-395M20.9
83	108	90	104	74	87	67	FAM213B
0	1	0	0	0	0	0	MMEL1
0	0	0	0	0	0	0	RP13-436F16.1
0	0	0	1	2	0	1	TTC34
0	0	0	0	0	0	0	RP11-740P5.2
0	0	0	0	0	0	0	RP11-740P5.3
0	0	0	0	0	0	0	ACTRT2
0	0	0	0	0	0	0	LINC00982
0	0	0	0	0	0	1	PRDM16
0	0	0	0	0	0	0	RP1-163G9.2
0	0	0	0	0	0	0	RP11-22L13.1
0	0	0	0	0	0	0	ARHGEF16
0	0	0	0	0	0	0	RP11-168F9.2
1	0	3	2	2	2	4	MEGF6
0	1	1	1	1	1	0	RP11-46F15.2
335	326	344	331	357	327	325	TPRG1L
102	156	84	107	102	137	100	WRAP73
30	39	31	32	39	37	48	TP73
0	0	0	0	0	0	0	RP5-1092A11.5
0	2	0	0	0	0	0	RP5-1092A11.2
454	515	344	459	445	579	532	TP73-AS1
3	7	0	5	2	1	5	CCDC27
1777	2885	2236	2581	2567	2197	1926	SMIM1
113	126	107	104	118	89	118	LRRC47
7	2	3	0	2	4	4	RP1-286D6.5
104	81	70	75	76	77	99	CEP104
22	18	14	11	19	9	20	DFFB
315	295	256	298	265	295	338	C1orf174
35	26	13	31	27	27	29	LINC01134
0	0	0	0	0	0	0	RP13-614K11.1
0	0	0	0	0	0	0	RP13-614K11.2
0	0	0	0	0	0	0	RP5-1166F10.1
0	0	0	0	0	0	0	RP1-37J18.1
0	0	0	0	0	0	0	RP1-37J18.2
0	0	0	0	0	0	0	AJAP1
0	0	0	0	0	0	0	RP11-542C10.1
0	0	0	0	0	0	0	RP1-58B11.1
0	0	0	0	0	0	0	RP11-154H17.1
44	51	44	54	37	42	41	NPHP4
36	60	54	57	54	56	42	KCNAB2
0	0	0	0	0	0	0	AL035406.1
1	1	3	0	3	2	0	CHD5
2036	1624	1408	1501	1604	1612	1596	RPL22
0	0	0	0	0	0	0	RP1-120G22.11
2	0	0	0	0	0	0	RNF207
51	48	39	34	48	52	41	ICMT
0	0	0	0	0	0	0	LINC00337
0	0	0	0	0	0	0	HES3
0	0	1	0	2	0	0	GPR153
66	113	71	76	99	103	79	ACOT7
0	0	0	0	0	0	0	RP1-202O8.3
11	18	13	17	11	22	11	HES2
251	376	289	277	234	271	311	ESPN
3	1	2	1	1	2	0	RP1-202O8.2
46	37	31	35	44	43	39	TNFRSF25
0	0	5	1	1	0	0	PLEKHG5
91	74	60	77	67	73	85	NOL9
0	0	0	1	2	0	0	TAS1R1
249	270	263	290	297	275	235	ZBTB48
2165	2726	2032	1781	2060	2450	2593	KLHL21
152	171	141	132	152	154	144	PHF13
191	234	195	216	284	235	234	THAP3
389	483	383	430	470	419	446	DNAJC11
0	0	0	0	0	0	2	RP11-242F24.1
0	0	0	0	0	1	1	RP11-312B8.1
115	85	89	73	75	92	98	CAMTA1
0	0	0	0	0	0	0	RP11-334N17.1
0	0	0	0	0	0	0	RP3-453P22.2
0	0	0	0	0	0	0	RP4-549F15.1
0	0	0	0	0	0	0	RP11-338N10.1
0	0	0	0	0	0	0	RP11-338N10.2
0	0	0	0	0	0	0	RP11-338N10.3
809	778	645	686	725	812	776	VAMP3
174	151	125	141	148	148	108	PER3
1	0	1	2	3	0	0	RP3-467L1.4
1	0	0	2	1	0	1	UTS2
7	4	3	5	7	9	3	TNFRSF9
2138	2427	2202	2273	2247	2156	2177	PARK7
322	239	227	207	223	201	323	ERRFI1
0	0	0	0	0	0	0	RP11-431K24.1
0	0	0	0	0	0	0	RP11-431K24.3
0	0	0	0	0	0	0	RP11-431K24.4
0	0	0	0	0	0	0	SLC45A1
98	108	91	81	109	88	90	RERE
0	2	1	0	0	1	0	RP5-1115A15.1
5	1	2	5	2	1	2	RP4-633I8.4
877	1064	843	1102	1101	1019	898	ENO1
0	0	0	0	0	0	0	ENO1-AS1
0	0	0	0	0	1	0	CA6
0	0	0	0	0	0	0	SLC2A7
0	0	0	0	0	0	0	SLC2A5
9	8	4	4	12	8	6	GPR157
5	8	1	2	5	3	1	RP3-510D11.1
1	7	6	5	8	6	12	RP3-510D11.2
9	12	5	3	6	9	6	H6PD
0	0	1	1	0	0	0	SPSB1
0	0	0	1	0	0	0	RP13-392I16.1
3	3	0	0	5	2	2	SLC25A33
1	7	6	3	4	2	2	TMEM201
0	0	0	1	0	0	1	PIK3CD
0	0	0	0	0	0	0	C1orf200
0	0	0	3	0	1	1	RP11-558F24.4
2	6	5	5	4	5	3	CLSTN1
0	2	0	0	1	1	0	CTNNBIP1
0	0	0	0	0	0	0	RP11-84A14.5
107	79	66	86	87	74	80	LZIC
18	32	9	27	13	26	23	NMNAT1
0	0	1	0	0	0	0	RBP7
795	826	752	776	781	797	712	UBE4B
11	9	14	8	5	7	5	KIF1B
1699	1908	1505	1799	1860	1861	1545	PGD
0	0	0	0	0	0	0	RP4-736L20.3
6	7	6	9	10	8	8	APITD1
0	0	0	0	0	0	0	APITD1-CORT
4	0	2	1	0	0	0	CORT
134	127	108	154	152	135	128	DFFA
0	0	0	0	0	0	0	RP5-1113E3.3
64	87	96	80	88	86	70	PEX14
6	4	3	1	5	4	8	CASZ1
0	1	0	0	6	2	1	RP4-734G22.3
0	0	0	0	0	0	0	C1orf127
693	734	496	617	672	710	625	TARDBP
5	2	3	0	4	3	0	MASP2
27	17	8	15	14	23	21	RP4-635E18.8
19	23	26	23	25	24	21	SRM
401	452	334	415	445	436	383	EXOSC10
1	1	1	1	0	2	0	RP4-635E18.7
1	2	0	1	1	0	2	RP4-635E18.6
347	421	379	439	370	474	406	MTOR
0	0	0	0	2	1	0	MTOR-AS1
0	3	0	2	2	2	1	ANGPTL7
525	585	535	592	584	533	521	UBIAD1
0	0	1	0	0	0	0	PTCHD2
0	0	0	0	0	0	0	RP1-69M21.2
0	0	0	0	0	0	0	FBXO2
0	1	4	2	0	3	1	FBXO44
27	24	19	18	23	38	17	FBXO6
96	167	101	123	141	137	120	MAD2L2
1	0	0	0	0	0	1	DRAXIN
91	123	120	138	132	163	119	AGTRAP
0	0	0	1	2	0	0	C1orf167
0	0	0	0	0	0	0	RP11-56N19.5
1805	2018	1580	1965	1962	1808	1772	MTHFR
219	298	265	268	251	273	281	CLCN6
4	0	2	2	4	4	8	NPPA-AS1
4	2	1	1	2	0	3	NPPA
1	0	0	0	0	0	0	NPPB
47	55	52	48	45	57	43	KIAA2013
258	379	283	371	358	358	303	PLOD1
3215	3537	2927	3316	3420	3006	3232	MFN2
413	602	511	552	511	535	463	MIIP
0	0	0	0	0	0	0	TNFRSF8
15	18	8	16	12	25	7	TNFRSF1B
172	187	159	226	230	214	233	VPS13D
0	0	0	0	0	0	0	RP5-888M10.2
27	40	26	44	35	46	20	DHRS3
0	0	1	2	0	0	0	RP11-474O21.5
0	0	0	0	0	0	0	AADACL4
0	0	0	0	0	0	0	AADACL3
0	0	0	0	0	0	0	C1orf158
0	0	0	0	0	0	0	PRAMEF12
0	0	0	0	0	0	0	PRAMEF1
0	0	0	0	0	0	0	RP5-845O24.8
0	0	0	0	0	0	0	PRAMEF11
1	0	0	0	0	1	0	HNRNPCL1
0	0	0	0	0	0	0	PRAMEF2
0	0	0	0	0	0	0	PRAMEF4
0	0	0	0	0	0	0	PRAMEF10
0	0	0	0	0	0	0	PRAMEF7
0	0	0	0	0	0	0	PRAMEF6
0	0	0	0	0	0	0	PRAMEF22
0	0	0	0	0	0	0	WI2-3308P17.2
0	0	0	0	0	0	0	RP13-221M14.2
0	0	0	0	0	0	0	PRAMEF26
0	0	0	0	0	0	0	PRAMEF3
0	0	0	0	0	0	0	PRAMEF5
0	0	0	0	0	0	0	PRAMEF8
0	0	0	0	0	0	0	PRAMEF9
0	0	0	0	0	0	0	RP11-219C24.10
0	0	0	0	0	0	0	PRAMEF13
0	0	0	0	0	0	0	PRAMEF18
0	0	0	0	0	0	0	PRAMEF16
0	0	0	0	0	0	0	PRAMEF21
0	0	0	0	0	0	0	PRAMEF15
0	0	0	0	0	0	0	PRAMEF14
0	0	0	0	0	0	0	PRAMEF19
0	0	0	0	0	0	0	PRAMEF17
0	0	0	0	0	0	0	PRAMEF20
0	0	0	0	0	0	0	LRRC38
0	0	0	0	0	0	0	RP4-597A16.2
0	0	0	0	0	0	0	PDPN
0	0	0	0	0	0	0	CTA-520D8.2
173	182	140	178	185	181	195	PRDM2
0	0	1	0	0	0	0	RP11-344F13.1
0	0	0	0	0	0	0	RP4-704D23.1
0	0	1	0	1	0	0	KAZN
0	0	0	0	0	0	0	TMEM51
0	0	0	0	0	0	0	C1orf195
0	0	0	0	0	0	0	FHAD1
0	0	0	0	0	0	0	RP3-467K16.2
0	0	0	0	0	0	0	RP3-467K16.7
0	0	0	0	0	0	0	RP3-467K16.4
4	3	9	9	16	8	4	EFHD2
0	1	0	0	0	0	0	CTRC
0	0	0	0	2	0	1	CELA2A
1	0	0	3	2	2	0	CELA2B
74	80	57	80	101	83	56	CASP9
430	288	239	281	301	297	312	DNAJC16
0	0	0	0	0	0	0	RP4-680D5.8
2	4	2	0	2	0	0	AGMAT
0	0	2	0	0	1	0	RP4-680D5.2
2433	2008	1650	1512	1695	1727	1847	DDI2
0	0	0	0	0	0	0	RSC1A1
0	0	0	0	0	0	0	RP4-680D5.9
343	445	378	398	419	396	352	PLEKHM2
7	6	0	7	3	3	5	RP11-288I21.1
16	21	13	15	8	13	18	SLC25A34
0	0	0	0	0	0	0	RP11-169K16.4
0	0	0	0	0	1	0	TMEM82
0	0	0	0	0	0	1	FBLIM1
19	12	10	13	21	15	12	RP11-169K16.9
172	149	157	176	169	161	161	SPEN
173	238	175	217	202	202	218	ZBTB17
0	0	0	0	0	0	0	C1orf64
0	0	0	0	0	0	0	RP11-5P18.5
0	0	0	0	0	0	0	HSPB7
0	0	0	0	0	0	0	CLCNKA
0	0	0	0	0	1	0	CLCNKB
0	0	0	0	0	0	0	FAM131C
0	0	0	0	0	0	0	EPHA2
0	0	0	0	0	0	0	RP11-276H7.2
0	0	0	0	0	0	0	RP11-276H7.3
0	0	0	0	0	0	0	ARHGEF19-AS1
8	15	5	8	13	17	8	ARHGEF19
12	8	5	10	10	7	13	C1orf134
7	14	8	5	11	13	12	RSG1
600	770	634	818	901	816	697	FBXO42
184	216	201	208	233	200	153	SZRD1
0	0	0	5	1	3	0	SPATA21
1440	1686	1415	1499	1502	1447	1359	NECAP2
24	14	19	26	33	24	26	RP4-798A10.2
0	0	0	1	0	1	0	RP4-798A10.7
0	0	0	0	0	0	0	RP4-798A10.4
0	0	0	0	0	0	0	U1
0	0	0	0	0	0	0	FAM231B
19	19	26	20	21	27	25	NBPF1
0	0	0	0	0	0	0	RP5-1182A14.5
380	435	312	408	481	599	624	CROCCP2
0	0	0	0	0	0	0	FAM231A
0	0	0	0	0	0	0	FAM231C
4	8	5	3	5	1	5	CROCC
0	0	0	0	0	0	0	RP11-108M9.1
0	0	0	0	0	0	0	RP11-108M9.2
0	0	0	0	0	0	0	U1.1
0	1	0	0	0	0	0	RP11-108M9.4
2	1	0	2	0	0	0	RP11-108M9.6
0	0	0	0	0	0	0	MFAP2
0	0	0	0	0	0	0	RP1-37C10.3
11	20	7	15	27	10	20	ATP13A2
912	1033	854	957	1015	1004	993	SDHB
0	0	0	0	0	0	0	PADI2
0	0	0	0	0	0	0	RP11-380J14.1
0	0	0	0	0	0	0	PADI1
0	1	0	1	0	0	0	PADI3
1	3	8	2	5	1	2	PADI4
1	0	0	0	0	0	0	AC004824.2
0	0	0	0	0	0	0	RP1-20B21.4
81	91	89	91	117	117	96	RCC2
0	0	0	0	0	0	0	ARHGEF10L
0	0	0	0	0	0	0	RP11-473A10.2
0	2	0	1	0	0	0	ACTL8
0	0	0	0	0	0	0	RP11-174G17.2
0	0	0	0	0	0	0	IGSF21
0	0	0	0	0	0	0	RP11-174G17
0	0	0	0	0	0	0	RP11-422P22.1
0	0	0	0	0	0	0	KLHDC7A
0	0	0	0	0	0	0	PAX7
0	0	0	0	0	0	0	TAS1R2
1	0	0	0	0	0	0	RP13-279N23.2
142	199	137	155	149	138	130	ALDH4A1
1	0	3	0	0	0	0	IFFO2
2715	3146	2827	3177	3561	3327	3034	UBR4
1	1	5	4	2	3	5	RP1-43E13.2
270	257	204	273	223	260	191	EMC1
59	66	67	39	52	51	53	MRTO4
0	1	0	0	0	2	3	AKR7A3
196	248	176	199	225	194	198	AKR7A2
147	197	137	185	192	171	129	PQLC2
1123	1239	1077	1133	1194	1145	1082	CAPZB
0	0	0	0	0	0	0	RP5-1056L3.1
0	0	0	0	0	0	0	MINOS1-NBL1
21	28	19	20	23	37	21	MINOS1
1	0	0	1	2	1	0	NBL1
0	0	0	0	0	0	0	HTR6
3	12	5	6	5	4	3	TMCO4
0	0	0	0	0	0	0	RNF186
0	0	0	0	0	0	0	RP11-91K11.2
19	12	10	11	26	14	16	OTUD3
0	0	0	0	0	0	0	PLA2G2E
0	0	0	1	0	5	2	PLA2G2A
0	0	0	0	0	0	0	PLA2G5
0	0	0	0	0	0	3	PLA2G2D
0	1	1	0	0	0	0	PLA2G2F
0	0	0	0	1	0	0	RP3-340N1.2
1	1	0	0	1	0	1	PLA2G2C
8	6	9	8	5	9	3	UBXN10-AS1
607	668	577	579	625	627	587	UBXN10
0	0	0	0	0	0	0	RP3-340N1.6
0	0	0	1	0	0	0	VWA5B1
0	0	0	0	0	0	0	RP4-745E8.2
0	0	0	0	0	0	0	LINC01141
0	0	0	0	0	0	0	RP4-749H3.2
0	0	0	0	0	0	0	CAMK2N1
373	518	364	402	443	396	365	MUL1
0	0	0	0	0	0	0	FAM43B
0	0	0	1	0	0	0	CDA
49	80	56	59	66	67	33	PINK1
4	8	4	4	5	6	8	PINK1-AS
586	710	552	623	599	601	534	DDOST
0	0	0	0	0	0	0	KIF17
2	0	0	0	0	0	0	SH2D5
0	0	0	0	0	0	0	RP5-930J4.2
496	477	369	405	457	506	507	HP1BP3
0	0	0	0	0	0	0	RP5-930J4.4
77	57	82	107	95	99	90	EIF4G3
89	133	85	93	99	111	64	ECE1
2	3	1	5	3	1	5	RP3-329E20.2
0	0	1	0	0	3	1	RP5-1071N3.1
0	0	0	0	0	0	0	RP11-293F5.1
64	88	63	66	92	84	75	NBPF3
32	30	33	38	31	37	33	ALPL
0	0	2	2	0	0	0	RP11-63N8.3
9384	11285	9747	9993	9646	9875	9932	RAP1GAP
433	424	317	273	309	348	389	USP48
0	0	0	2	0	0	1	LDLRAD2
236	390	290	386	348	378	296	HSPG2
0	0	0	0	0	0	0	CELA3B
0	0	0	0	0	0	0	CELA3A
0	0	0	1	0	0	0	RP1-224A6.3
28	30	22	34	34	26	36	LINC00339
2817	2008	1830	1802	1976	1792	2042	CDC42
7	2	3	4	7	3	2	RP1-224A6.9
0	0	0	4	0	2	2	WNT4
194	177	108	178	169	160	134	ZBTB40
0	1	0	0	0	0	0	EPHA8
0	0	0	0	0	0	0	C1QA
0	0	0	0	0	0	0	C1QC
0	0	0	0	0	0	0	C1QB
0	0	0	0	0	0	0	EPHB2
0	0	0	0	0	0	0	RP11-69E9.1
0	0	0	0	0	0	0	RP1-74M1.3
0	0	0	0	0	0	0	LACTBL1
0	0	0	0	0	0	0	C1orf234
61	48	47	41	60	51	46	KDM1A
0	0	0	0	0	0	0	RP1-184J9.2
5	5	2	6	7	5	4	LUZP1
0	0	0	0	0	0	0	HTR1D
6	3	3	2	6	5	10	RP5-1057J7.6
762	537	506	522	539	544	565	HNRNPR
172	132	142	155	212	172	175	ZNF436
8	14	12	19	15	10	14	C1orf213
0	0	1	0	0	0	0	RP5-1057J7.7
1	0	1	0	0	0	0	TCEA3
58	54	49	44	75	42	60	ASAP3
1251	1204	1171	1059	1136	1114	1097	E2F2
0	0	0	0	0	0	0	RP1-150O5.3
2	0	1	3	0	2	0	ID3
0	0	0	0	0	0	0	MDS2
12015	14094	12176	13162	13624	12799	11763	RPL11
430	417	378	380	400	368	375	TCEB3
19	17	21	16	21	23	16	RP5-886K2.3
1188	1152	859	756	742	835	1070	PITHD1
412	553	397	530	527	519	483	LYPLA2
365	532	399	437	537	480	515	GALE
458	665	522	552	633	563	540	HMGCL
718	695	616	669	673	597	691	FUCA1
0	0	0	0	0	1	0	CNR2
0	0	0	0	0	0	0	RP11-4M23.3
82	21	30	18	28	34	35	PNRC2
26	15	17	15	27	11	26	SRSF10
0	0	0	0	0	0	0	RP11-293P20.2
0	1	0	0	0	0	0	MYOM3
0	0	0	0	0	0	0	RP11-293P20.4
0	0	0	1	4	0	2	IL22RA1
0	0	0	0	0	0	0	IFNLR1
0	0	0	0	0	0	0	RP11-10N16.2
0	0	0	0	0	0	0	RP11-10N16.3
0	0	0	0	0	0	0	GRHL3
45	43	43	43	33	36	22	STPG1
683	800	550	761	745	758	720	NIPAL3
0	0	0	0	0	0	0	RCAN3
0	0	0	0	0	0	0	RP4-594I10.3
0	0	0	0	0	0	0	NCMAP
449	407	353	375	380	422	415	SRRM1
2993	1679	1359	1642	1899	1854	2007	CLIC4
0	0	0	1	0	1	0	RUNX3
0	0	0	0	0	0	0	RP11-84D1.1
0	0	0	0	0	0	0	RP11-84D1.2
0	0	0	0	0	0	0	RP4-799D16.1
0	0	1	0	0	1	2	RP4-706G24.1
1189	1000	872	1002	1076	993	1185	SYF2
1742	1475	1043	1081	1241	1463	1502	C1orf63
3	2	3	1	0	0	1	RP3-465N24.6
3713	4076	3495	3370	3422	3450	3444	RHD
2453	2292	1970	2061	2201	2352	2461	TMEM50A
1922	2508	2129	2185	2254	2167	1935	RHCE
470	388	317	347	354	370	411	TMEM57
87	122	80	77	67	69	68	LDLRAP1
0	0	0	0	0	0	0	RP11-70P17.1
1	1	1	0	2	0	1	MAN1C1
0	0	0	0	0	0	0	RP1-187B23.1
0	0	0	1	1	0	0	SEPN1
0	0	0	0	0	0	0	RP1-317E23.6
0	0	0	0	0	0	0	RP1-317E23.3
203	183	161	208	185	209	213	MTFR1L
0	0	0	0	0	0	0	AL020996.1
0	0	0	0	0	0	0	RP1-317E23.7
39	42	45	64	57	38	42	AUNIP
1	0	0	0	0	0	0	RP1-125I3.2
54	53	32	50	50	42	37	PAQR7
322	229	204	218	230	230	249	STMN1
35	38	35	25	37	44	33	PAFAH2
1	1	1	1	0	3	0	EXTL1
0	0	0	0	5	4	1	SLC30A2
2	4	5	2	6	6	4	TRIM63
725	468	373	386	578	526	502	PDIK1L
0	2	0	1	1	1	0	FAM110D
0	1	0	0	0	0	1	ZNF593
0	0	1	0	1	0	0	RP11-96L14.7
2	3	0	1	1	3	7	CNKSR1
0	0	0	0	0	0	0	CATSPER4
230	245	221	223	262	256	211	CEP85
5665	7502	6602	7143	7043	6692	6255	SH3BGRL3
70	117	71	86	85	93	94	UBXN11
26	41	36	43	39	32	42	CD52
0	3	0	0	1	0	0	AIM1L
0	0	0	0	0	0	0	ZNF683
0	0	0	0	0	0	0	LIN28A
182	215	144	213	212	245	187	DHDDS
1	3	1	1	0	0	2	RP3-476K8.3
592	615	494	558	594	576	545	HMGN2
1026	1167	922	1095	995	1093	920	RPS6KA1
0	0	0	1	2	0	0	RP5-968P14.2
671	734	665	704	743	689	592	ARID1A
165	193	142	180	138	165	201	PIGV
5	10	7	8	9	8	9	ZDHHC18
1	1	0	0	0	1	1	SFN
0	0	0	0	0	0	0	RP1-50O24.6
258	305	238	340	272	303	260	GPN2
237	332	275	245	378	327	271	GPATCH3
1562	1905	1543	1865	1769	1790	1600	NUDC
0	1	1	2	1	3	1	NR0B2
1	0	0	2	0	0	0	C1orf172
0	0	0	0	0	0	0	TRNP1
0	1	5	5	3	5	2	FAM46B
20	30	16	40	25	26	24	SLC9A1
0	0	0	0	0	0	0	RP11-40H20.4
338	427	354	371	404	352	315	WDTC1
494	624	510	544	596	493	560	TMEM222
97	104	101	134	127	160	104	SYTL1
32	52	39	48	52	37	47	MAP3K6
0	0	0	0	0	0	0	FCN3
0	0	0	0	0	0	0	CD164L2
1	5	4	4	3	4	1	GPR3
3884	4322	3685	4037	4301	4004	3980	WASF2
0	0	0	0	0	0	1	RP4-752I6.1
4	12	4	11	7	8	11	RP1-159A19.4
35	51	40	57	57	55	53	AHDC1
0	0	0	0	0	0	0	FGR
0	0	0	0	0	0	0	RP11-288L9.1
38	66	65	101	63	40	45	IFI6
0	0	0	0	0	0	0	RP11-288L9.4
76	35	18	43	34	44	47	FAM76A
237	164	132	135	194	169	187	STX12
102	113	70	84	88	91	102	PPP1R8
0	0	0	0	0	0	0	AL109927.1
323	428	329	354	374	390	329	THEMIS2
945	1003	843	897	897	989	1005	RPA2
1	0	2	0	4	3	3	SMPDL3B
0	0	0	0	0	0	0	RP11-460I13.2
4	4	9	5	10	1	8	XKR8
924	844	775	813	804	876	825	EYA3
5	6	2	3	0	1	4	PTAFR
789	737	602	712	685	743	781	DNAJC8
4	4	4	4	1	4	2	AL353354.1
0	0	0	0	0	0	0	AL353354.2
1830	2102	1603	1887	1943	1999	1838	ATPIF1
4	4	5	3	4	5	8	RP5-1092A3.4
0	0	0	0	0	0	1	RP5-1092A3.5
2770	3219	2574	2800	2937	3073	2987	SESN2
111	131	88	111	92	107	87	MED18
98	108	78	108	111	110	84	PHACTR4
135	169	140	132	112	129	124	RCC1
141	131	108	130	112	170	122	TRNAU1AP
35	25	26	38	33	50	51	SNHG12
373	344	298	311	345	338	328	TAF12
0	0	0	2	0	0	0	RAB42
0	0	2	2	1	1	1	RP11-442N24__B.1
1	0	1	0	0	0	0	RNU11
171	156	158	152	177	125	170	GMEB1
539	570	432	530	507	543	503	YTHDF2
0	0	0	0	0	0	0	OPRD1
0	0	1	0	0	0	0	RP1-212P9.2
0	2	0	1	0	0	0	RP1-212P9.3
5678	5364	4797	4729	5155	5436	5461	EPB41
3	5	0	3	1	1	5	TMEM200B
0	0	0	0	0	0	0	RP11-242O24.3
1106	1196	951	1008	1071	1091	1133	SRSF4
0	0	0	0	0	0	0	RP11-242O24.5
170	169	134	188	169	165	108	MECR
2	1	2	0	0	0	1	RP11-467D18.2
2	1	0	0	0	1	0	PTPRU
0	0	0	0	0	0	0	RP3-437I16.1
